data,poziom_m_npm_szacunek
1992-11,98.31
1992-12,98.34
1993-01,98.38
1993-02,98.41
1993-03,98.42
1993-04,98.42
1993-05,98.39
1993-06,98.35
1993-07,98.32
1993-08,98.3
1993-09,98.3
1993-10,98.31
1993-11,98.33
1993-12,98.36
1994-01,98.4
1994-02,98.46
1994-03,98.53
1994-04,98.6
1994-05,98.64
1994-06,98.63
1994-07,98.58
1994-08,98.53
1994-09,98.5
1994-10,98.5
1994-11,98.51
1994-12,98.53
1995-01,98.58
1995-02,98.62
1995-03,98.66
1995-04,98.68
1995-05,98.7
1995-06,98.69
1995-07,98.66
1995-08,98.64
1995-09,98.63
1995-10,98.62
1995-11,98.61
1995-12,98.61
1996-01,98.62
1996-02,98.64
1996-03,98.67
1996-04,98.71
1996-05,98.74
1996-06,98.74
1996-07,98.74
1996-08,98.7
1996-09,98.66
1996-10,98.64
1996-11,98.63
1996-12,98.63
1997-01,98.64
1997-02,98.65
1997-03,98.67
1997-04,98.67
1997-05,98.69
1997-06,98.71
1997-07,98.71
1997-08,98.66
1997-09,98.59
1997-10,98.54
1997-11,98.51
1997-12,98.51
1998-01,98.53
1998-02,98.56
1998-03,98.59
1998-04,98.6
1998-05,98.59
1998-06,98.55
1998-07,98.5
1998-08,98.46
1998-09,98.45
1998-10,98.45
1998-11,98.47
1998-12,98.5
1999-01,98.57
1999-02,98.67
1999-03,98.79
1999-04,98.9
1999-05,98.96
1999-06,98.95
1999-07,98.9
1999-08,98.83
1999-09,98.76
1999-10,98.71
1999-11,98.69
1999-12,98.7
2000-01,98.72
2000-02,98.75
2000-03,98.76
2000-04,98.76
2000-05,98.72
2000-06,98.67
2000-07,98.64
2000-08,98.62
2000-09,98.6
2000-10,98.57
2000-11,98.56
2000-12,98.57
2001-01,98.58
2001-02,98.6
2001-03,98.62
2001-04,98.64
2001-05,98.65
2001-06,98.63
2001-07,98.61
2001-08,98.57
2001-09,98.55
2001-10,98.53
2001-11,98.52
2001-12,98.54
2002-01,98.59
2002-02,98.67
2002-03,98.75
2002-04,98.81
2002-05,98.82
2002-06,98.8
2002-07,98.76
2002-08,98.72
2002-09,98.7
2002-10,98.69
2002-11,98.69
2002-12,98.71
2003-01,98.73
2003-02,98.76
2003-03,98.77
2003-04,98.76
2003-05,98.72
2003-06,98.65
2003-07,98.56
2003-08,98.48
2003-09,98.41
2003-10,98.35
2003-11,98.34
2003-12,98.36
2004-01,98.38
2004-02,98.4
2004-03,98.4
2004-04,98.38
2004-05,98.34
2004-06,98.27
2004-07,98.2
2004-08,98.12
2004-09,98.06
2004-10,98.02
2004-11,98.0
2004-12,98.0
2005-01,98.01
2005-02,98.02
2005-03,98.03
2005-04,98.04
2005-05,98.02
2005-06,97.96
2005-07,97.89
2005-08,97.81
2005-09,97.75
2005-10,97.7
2005-11,97.69
2005-12,97.7
2006-01,97.73
2006-02,97.73
2006-03,97.73
2006-04,97.72
2006-05,97.7
2006-06,97.65
2006-07,97.62
2006-08,97.64
2006-09,97.65
2006-10,97.66
2006-11,97.68
2006-12,97.72
2007-01,97.75
2007-02,97.76
2007-03,97.75
2007-04,97.72
2007-05,97.7
2007-06,97.68
2007-07,97.68
2007-08,97.67
2007-09,97.67
2007-10,97.67
2007-11,97.68
2007-12,97.7
2008-01,97.72
2008-02,97.73
2008-03,97.73
2008-04,97.7
2008-05,97.66
2008-06,97.62
2008-07,97.58
2008-08,97.56
2008-09,97.56
2008-10,97.57
2008-11,97.59
2008-12,97.61
2009-01,97.63
2009-02,97.66
2009-03,97.66
2009-04,97.63
2009-05,97.63
2009-06,97.64
2009-07,97.63
2009-08,97.6
2009-09,97.57
2009-10,97.54
2009-11,97.55
2009-12,97.58
2010-01,97.61
2010-02,97.65
2010-03,97.69
2010-04,97.72
2010-05,97.7
2010-06,97.67
2010-07,97.65
2010-08,97.65
2010-09,97.66
2010-10,97.7
2010-11,97.75
2010-12,97.81
2011-01,97.88
2011-02,97.94
2011-03,97.99
2011-04,98.0
2011-05,97.97
2011-06,97.94
2011-07,97.9
2011-08,97.85
2011-09,97.81
2011-10,97.77
2011-11,97.75
2011-12,97.76
2012-01,97.78
2012-02,97.81
2012-03,97.83
2012-04,97.83
2012-05,97.81
2012-06,97.77
2012-07,97.72
2012-08,97.68
2012-09,97.66
2012-10,97.65
2012-11,97.67
2012-12,97.7
2013-01,97.73
2013-02,97.75
2013-03,97.75
2013-04,97.73
2013-05,97.73
2013-06,97.73
2013-07,97.72
2013-08,97.68
2013-09,97.66
2013-10,97.66
2013-11,97.69
2013-12,97.71
2014-01,97.71
2014-02,97.7
2014-03,97.68
2014-04,97.66
2014-05,97.62
2014-06,97.58
2014-07,97.53
2014-08,97.49
2014-09,97.46
2014-10,97.44
2014-11,97.43
2014-12,97.44
2015-01,97.48
2015-02,97.51
2015-03,97.52
2015-04,97.51
2015-05,97.46
2015-06,97.4
2015-07,97.33
2015-08,97.26
2015-09,97.21
2015-10,97.18
2015-11,97.19
2015-12,97.2
2016-01,97.22
2016-02,97.23
2016-03,97.24
2016-04,97.22
2016-05,97.17
2016-06,97.11
2016-07,97.03
2016-08,96.95
2016-09,96.92
2016-10,96.93
2016-11,96.95
2016-12,96.98
2017-01,96.99
2017-02,97.0
2017-03,96.99
2017-04,96.99
2017-05,96.97
2017-06,96.94
2017-07,96.92
2017-08,96.92
2017-09,96.93
2017-10,96.96
2017-11,97.0
2017-12,97.05
2018-01,97.08
2018-02,97.11
2018-03,97.12
2018-04,97.1
2018-05,97.06
2018-06,97.0
2018-07,96.95
2018-08,96.91
2018-09,96.88
2018-10,96.88
2018-11,96.91
2018-12,96.95
2019-01,96.99
2019-02,97.04
2019-03,97.04
2019-04,97.03
2019-05,97.01
2019-06,96.96
2019-07,96.89
2019-08,96.83
2019-09,96.81
2019-10,96.8
2019-11,96.79
2019-12,96.8
2020-01,96.84
2020-02,96.87
2020-03,96.87
2020-04,96.84
2020-05,96.8
2020-06,96.76
2020-07,96.73
2020-08,96.68
2020-09,96.64
2020-10,96.61
2020-11,96.6
2020-12,96.61
2021-01,96.64
2021-02,96.65
2021-03,96.65
2021-04,96.66
2021-05,96.68
2021-06,96.7
2021-07,96.71
2021-08,96.72
2021-09,96.71
2021-10,96.68
2021-11,96.65
2021-12,96.64
2022-01,96.64
2022-02,96.65
2022-03,96.66
2022-04,96.65
2022-05,96.62
2022-06,96.56
2022-07,96.5
2022-08,96.45
2022-09,96.42
2022-10,96.42
2022-11,96.42
2022-12,96.44
2023-01,96.47
2023-02,96.5
2023-03,96.52
2023-04,96.5
2023-05,96.44
2023-06,96.36
2023-07,96.29
2023-08,96.22
2023-09,96.17
2023-10,96.11
2023-11,96.05
