data,poziom_m_npm_szacunek
1992-11,97.15
1992-12,97.17
1993-01,97.2
1993-02,97.24
1993-03,97.27
1993-04,97.3
1993-05,97.3
1993-06,97.27
1993-07,97.23
1993-08,97.18
1993-09,97.15
1993-10,97.15
1993-11,97.16
1993-12,97.24
1994-01,97.42
1994-02,97.68
1994-03,97.9
1994-04,98.08
1994-05,98.12
1994-06,98.21
1994-07,98.11
1994-08,98.02
1994-09,97.94
1994-10,97.91
1994-11,97.89
1994-12,97.89
1995-01,97.93
1995-02,98.0
1995-03,98.04
1995-04,98.09
1995-05,98.11
1995-06,98.08
1995-07,98.02
1995-08,97.99
1995-09,97.91
1995-10,97.93
1995-11,97.93
1995-12,97.93
1996-01,97.94
1996-02,97.95
1996-03,97.96
1996-04,98.02
1996-05,98.06
1996-06,98.03
1996-07,98.0
1996-08,97.91
1996-09,97.84
1996-10,97.81
1996-11,97.78
1996-12,97.78
1997-01,97.78
1997-02,97.77
1997-03,97.78
1997-04,97.81
1997-05,97.81
1997-06,97.8
1997-07,97.83
1997-08,97.81
1997-09,97.69
1997-10,97.62
1997-11,97.58
1997-12,97.57
1998-01,97.6
1998-02,97.66
1998-03,97.7
1998-04,97.72
1998-05,97.77
1998-06,97.71
1998-07,97.65
1998-08,97.59
1998-09,97.56
1998-10,97.53
1998-11,97.56
1998-12,97.63
1999-01,97.76
1999-02,97.95
1999-03,98.03
1999-04,98.23
1999-05,98.42
1999-06,98.48
1999-07,98.43
1999-08,98.39
1999-09,98.28
1999-10,98.17
1999-11,98.12
1999-12,98.11
2000-01,98.11
2000-02,98.13
2000-03,98.17
2000-04,98.2
2000-05,98.16
2000-06,98.11
2000-07,98.03
2000-08,97.98
2000-09,97.96
2000-10,97.93
2000-11,97.88
2000-12,97.87
2001-01,97.87
2001-02,97.9
2001-03,97.93
2001-04,97.96
2001-05,97.98
2001-06,97.99
2001-07,97.96
2001-08,97.93
2001-09,97.93
2001-10,97.93
2001-11,97.9
2001-12,97.87
2002-01,97.9
2002-02,98.03
2002-03,98.11
2002-04,98.3
2002-05,98.42
2002-06,98.42
2002-07,98.36
2002-08,98.29
2002-09,98.26
2002-10,98.21
2002-11,98.22
2002-12,98.24
2003-01,98.26
2003-02,98.27
2003-03,98.28
2003-04,98.29
2003-05,98.29
2003-06,98.25
2003-07,98.21
2003-08,98.13
2003-09,98.02
2003-10,97.95
2003-11,97.87
2003-12,97.87
2004-01,97.89
2004-02,97.9
2004-03,97.92
2004-04,97.91
2004-05,97.89
2004-06,97.86
2004-07,97.8
2004-08,97.71
2004-09,97.62
2004-10,97.54
2004-11,97.52
2004-12,97.53
2005-01,97.55
2005-02,97.56
2005-03,97.58
2005-04,97.6
2005-05,97.63
2005-06,97.64
2005-07,97.56
2005-08,97.46
2005-09,97.39
2005-10,97.3
2005-11,97.23
2005-12,97.21
2006-01,97.25
2006-02,97.27
2006-03,97.27
2006-04,97.28
2006-05,97.3
2006-06,97.28
2006-07,97.21
2006-08,97.17
2006-09,97.1
2006-10,97.06
2006-11,97.04
2006-12,97.02
2007-01,97.03
2007-02,97.11
2007-03,97.24
2007-04,97.39
2007-05,97.47
2007-06,97.45
2007-07,97.42
2007-08,97.4
2007-09,97.36
2007-10,97.31
2007-11,97.27
2007-12,97.25
2008-01,97.24
2008-02,97.32
2008-03,97.4
2008-04,97.49
2008-05,97.51
2008-06,97.44
2008-07,97.33
2008-08,97.21
2008-09,97.14
2008-10,97.11
2008-11,97.06
2008-12,97.04
2009-01,97.03
2009-02,97.02
2009-03,97.02
2009-04,97.03
2009-05,96.99
2009-06,96.97
2009-07,96.97
2009-08,96.94
2009-09,96.9
2009-10,96.82
2009-11,96.78
2009-12,96.77
2010-01,96.78
2010-02,96.78
2010-03,96.82
2010-04,96.88
2010-05,96.97
2010-06,97.06
2010-07,97.09
2010-08,97.1
2010-09,97.1
2010-10,97.14
2010-11,97.31
2010-12,97.44
2011-01,97.81
2011-02,98.11
2011-03,98.28
2011-04,98.23
2011-05,98.16
2011-06,98.14
2011-07,98.08
2011-08,98.02
2011-09,97.95
2011-10,97.89
2011-11,97.86
2011-12,97.82
2012-01,97.82
2012-02,97.84
2012-03,97.87
2012-04,97.87
2012-05,97.82
2012-06,97.76
2012-07,97.69
2012-08,97.6
2012-09,97.57
2012-10,97.48
2012-11,97.44
2012-12,97.41
2013-01,97.42
2013-02,97.46
2013-03,97.48
2013-04,97.51
2013-05,97.53
2013-06,97.51
2013-07,97.46
2013-08,97.45
2013-09,97.37
2013-10,97.33
2013-11,97.27
2013-12,97.25
2014-01,97.24
2014-02,97.27
2014-03,97.3
2014-04,97.35
2014-05,97.37
2014-06,97.35
2014-07,97.27
2014-08,97.18
2014-09,97.07
2014-10,96.99
2014-11,96.94
2014-12,96.92
2015-01,96.91
2015-02,96.91
2015-03,96.91
2015-04,96.88
2015-05,96.85
2015-06,96.8
2015-07,96.73
2015-08,96.62
2015-09,96.52
2015-10,96.46
2015-11,96.38
2015-12,96.36
2016-01,96.34
2016-02,96.33
2016-03,96.34
2016-04,96.35
2016-05,96.28
2016-06,96.22
2016-07,96.16
2016-08,96.07
2016-09,96.01
2016-10,95.92
2016-11,95.86
2016-12,95.94
2017-01,95.99
2017-02,96.0
2017-03,96.0
2017-04,96.01
2017-05,95.99
2017-06,95.93
2017-07,95.88
2017-08,95.79
2017-09,95.71
2017-10,95.67
2017-11,95.67
2017-12,95.82
2018-01,95.91
2018-02,96.09
2018-03,96.27
2018-04,96.35
2018-05,96.35
2018-06,96.33
2018-07,96.27
2018-08,96.16
2018-09,96.06
2018-10,95.97
2018-11,95.94
2018-12,95.92
2019-01,95.92
2019-02,95.94
2019-03,95.95
2019-04,95.94
2019-05,95.88
2019-06,95.79
2019-07,95.64
2019-08,95.47
2019-09,95.31
2019-10,95.23
2019-11,95.1
2019-12,95.07
2020-01,95.07
2020-02,95.09
2020-03,95.12
2020-04,95.07
2020-05,94.98
2020-06,94.88
2020-07,94.8
2020-08,94.74
2020-09,94.65
2020-10,94.56
2020-11,94.51
2020-12,94.46
2021-01,94.45
2021-02,94.43
2021-03,94.43
2021-04,94.4
2021-05,94.4
2021-06,94.38
2021-07,94.37
2021-08,94.34
2021-09,94.28
2021-10,94.22
2021-11,94.17
2021-12,94.15
2022-01,94.11
2022-02,94.14
2022-03,94.18
2022-04,94.19
2022-05,94.16
2022-06,94.1
2022-07,94.05
2022-08,93.98
2022-09,93.91
2022-10,93.87
2022-11,93.83
2022-12,93.79
2023-01,93.81
2023-02,93.83
2023-03,93.82
2023-04,93.83
2023-05,93.83
2023-06,93.75
2023-07,93.68
2023-08,93.59
2023-09,93.57
2023-10,93.5
2023-11,93.45
