data,poziom_m_npm_szacunek
1995-11,101.07
1995-12,101.08
1996-01,101.09
1996-02,101.15
1996-03,101.26
1996-04,101.35
1996-05,101.46
1996-06,101.44
1996-07,101.36
1996-08,101.27
1996-09,101.21
1996-10,101.17
1996-11,101.19
1996-12,101.21
1997-01,101.24
1997-02,101.26
1997-03,101.3
1997-04,101.33
1997-05,101.35
1997-06,101.28
1997-07,101.23
1997-08,101.16
1997-09,101.09
1997-10,101.04
1997-11,100.98
1997-12,101.02
1998-01,101.11
1998-02,101.21
1998-03,101.33
1998-04,101.41
1998-05,101.41
1998-06,101.34
1998-07,101.28
1998-08,101.21
1998-09,101.19
1998-10,101.24
1998-11,101.32
1998-12,101.41
1999-01,101.52
1999-02,101.63
1999-03,101.77
1999-04,101.84
1999-05,101.87
1999-06,101.75
1999-07,101.64
1999-08,101.44
1999-09,101.3
1999-10,101.18
1999-11,101.12
1999-12,101.13
2000-01,101.16
2000-02,101.24
2000-03,101.32
2000-04,101.41
2000-05,101.43
2000-06,101.35
2000-07,101.27
2000-08,101.21
2000-09,101.19
2000-10,101.15
2000-11,101.13
2000-12,101.16
2001-01,101.25
2001-02,101.36
2001-03,101.46
2001-04,101.54
2001-05,101.58
2001-06,101.53
2001-07,101.47
2001-08,101.41
2001-09,101.37
2001-10,101.4
2001-11,101.42
2001-12,101.45
2002-01,101.52
2002-02,101.65
2002-03,101.75
2002-04,101.83
2002-05,101.75
2002-06,101.66
2002-07,101.52
2002-08,101.45
2002-09,101.39
2002-10,101.42
2002-11,101.46
2002-12,101.52
2003-01,101.58
2003-02,101.63
2003-03,101.67
2003-04,101.65
2003-05,101.56
2003-06,101.44
2003-07,101.34
2003-08,101.21
2003-09,101.16
2003-10,101.16
2003-11,101.24
2003-12,101.35
2004-01,101.43
2004-02,101.53
2004-03,101.56
2004-04,101.56
2004-05,101.53
2004-06,101.47
2004-07,101.45
2004-08,101.38
2004-09,101.34
2004-10,101.31
2004-11,101.32
2004-12,101.34
2005-01,101.36
2005-02,101.35
2005-03,101.36
2005-04,101.37
2005-05,101.36
2005-06,101.33
2005-07,101.29
