data (miesiąc-rok),opad,temperatura
01-1976,66.1,-2.1
02-1976,6.9,-3.8
03-1976,21.1,-1.0
04-1976,8.2,6.5
05-1976,38.6,12.1
06-1976,32.9,15.5
07-1976,98.7,18.2
08-1976,73.8,15.7
09-1976,104.8,12.4
10-1976,32.9,7.1
11-1976,36.0,4.6
12-1976,43.4,-1.5
01-1977,43.7,-1.7
02-1977,25.4,0.3
03-1977,40.6,4.8
04-1977,43.6,5.1
05-1977,78.0,11.7
06-1977,14.7,17.2
07-1977,100.9,16.1
08-1977,95.9,16.1
09-1977,36.4,11.1
10-1977,16.7,9.2
11-1977,48.8,5.0
12-1977,21.4,0.2
01-1978,20.5,-0.8
02-1978,4.1,-2.8
03-1978,22.4,3.1
04-1978,18.7,5.9
05-1978,49.5,11.8
06-1978,49.6,15.4
07-1978,50.5,16.2
08-1978,113.5,15.9
09-1978,82.6,11.1
10-1978,52.0,9.1
11-1978,21.8,4.9
12-1978,53.8,-3.3
01-1979,25.4,-6.0
02-1979,19.2,-5.2
03-1979,32.1,1.7
04-1979,28.7,6.6
05-1979,5.9,14.3
06-1979,45.7,19.0
07-1979,30.2,15.1
08-1979,51.4,16.9
09-1979,66.0,13.4
10-1979,8.9,6.2
11-1979,53.7,2.5
12-1979,51.0,2.1
01-1980,20.9,-6.2
02-1980,20.1,-1.4
03-1980,17.9,-0.2
04-1980,31.8,5.9
05-1980,25.9,9.5
06-1980,138.8,15.1
07-1980,236.0,16.0
08-1980,90.2,16.1
09-1980,28.5,12.5
10-1980,28.7,8.4
11-1980,13.8,2.2
12-1980,19.4,-0.2
01-1981,32.0,-2.4
02-1981,16.3,-1.0
03-1981,53.4,5.1
04-1981,17.0,6.4
05-1981,36.0,14.3
06-1981,94.2,16.8
07-1981,148.5,17.4
08-1981,50.7,16.7
09-1981,11.7,13.8
10-1981,61.3,8.2
11-1981,44.1,3.9
12-1981,39.2,-4.0
01-1982,44.1,-3.7
02-1982,9.3,-1.3
03-1982,24.5,4.0
04-1982,31.4,5.9
05-1982,42.1,13.3
06-1982,48.5,16.1
07-1982,23.9,19.4
08-1982,24.8,18.9
09-1982,2.4,14.7
10-1982,5.8,9.2
11-1982,17.5,5.0
12-1982,36.6,1.2
01-1983,45.3,3.7
02-1983,60.0,-3.1
03-1983,32.4,4.2
04-1983,28.7,9.2
05-1983,41.7,14.8
06-1983,36.0,16.7
07-1983,31.3,20.0
08-1983,54.0,18.2
09-1983,37.7,13.8
10-1983,29.0,8.8
11-1983,29.2,2.1
12-1983,36.5,-1.0
01-1984,37.8,0.6
02-1984,19.5,-1.1
03-1984,25.0,1.1
04-1984,12.0,8.0
05-1984,68.0,12.9
06-1984,59.0,14.4
07-1984,63.5,15.5
08-1984,21.0,17.9
09-1984,58.1,12.5
10-1984,22.0,10.6
11-1984,25.7,2.7
12-1984,15.6,-0.8
01-1985,29.0,-8.1
02-1985,34.8,-7.9
03-1985,20.0,2.5
04-1985,24.3,7.7
05-1985,88.4,14.6
06-1985,100.0,14.0
07-1985,96.0,17.2
08-1985,187.9,16.8
09-1985,31.8,12.3
10-1985,7.7,8.2
11-1985,27.3,0.6
12-1985,64.3,2.1
01-1986,69.7,-1.3
02-1986,16.9,-9.5
03-1986,22.9,1.8
04-1986,34.5,7.8
05-1986,56.9,14.9
06-1986,58.8,16.2
07-1986,65.5,17.4
08-1986,40.6,16.7
09-1986,26.2,10.8
10-1986,30.5,8.1
11-1986,25.3,5.0
12-1986,67.5,0.6
01-1987,51.2,-11.0
02-1987,26.9,-1.2
03-1987,16.0,-2.0
04-1987,48.1,7.5
05-1987,17.4,11.5
06-1987,67.5,15.2
07-1987,99.7,17.5
08-1987,58.0,14.9
09-1987,64.6,13.2
10-1987,29.0,8.9
11-1987,69.1,4.5
12-1987,41.4,1.1
01-1988,35.4,2.2
02-1988,43.2,1.7
03-1988,42.7,1.8
04-1988,21.8,7.4
05-1988,43.6,14.8
06-1988,62.8,16.4
07-1988,79.2,18.4
08-1988,74.7,17.1
09-1988,75.1,13.7
10-1988,26.3,8.3
11-1988,53.4,0.6
12-1988,78.3,1.9
01-1989,10.3,1.7
02-1989,20.0,3.8
03-1989,12.8,5.7
04-1989,35.5,8.8
05-1989,12.8,14.1
06-1989,40.2,15.7
07-1989,25.1,18.6
08-1989,14.3,18.2
09-1989,23.4,15.1
10-1989,26.2,10.1
11-1989,29.9,1.6
12-1989,43.3,1.0
01-1990,14.1,2.3
02-1990,32.9,4.8
03-1990,24.2,6.5
04-1990,39.2,8.0
05-1990,19.5,14.3
06-1990,111.4,16.7
07-1990,35.7,17.1
08-1990,49.8,17.9
09-1990,47.0,11.4
10-1990,42.2,9.3
11-1990,41.2,4.6
12-1990,47.0,0.1
01-1991,12.7,0.6
02-1991,16.7,-4.1
03-1991,22.0,4.7
04-1991,22.7,8.1
05-1991,43.3,10.0
06-1991,82.9,14.6
07-1991,50.1,19.3
08-1991,36.5,18.3
09-1991,22.1,14.3
10-1991,19.2,7.7
11-1991,47.4,3.8
12-1991,45.1,-0.4
01-1992,9.7,-0.3
02-1992,19.8,2.0
03-1992,74.8,3.3
04-1992,7.8,7.9
05-1992,26.4,14.0
06-1992,41.0,19.0
07-1992,11.6,20.1
08-1992,49.9,20.9
