Data,Poziom,Zmiana,Opad,Temperatura
01.01.1997,"102,96",0,"0,8","-3,2"
01.02.1997,"102,97","0,01","49,6","2,9"
01.03.1997,"102,99","0,02","24,4","4,1"
01.04.1997,"103,06","0,07","15,8","5,5"
01.05.1997,"103,07","0,01","49,8","12,6"
01.06.1997,"103,07","0,00",64,"16,5"
01.07.1997,"103,07","0,00","115,5","17,8"
01.08.1997,"103,07","0,00","33,8","19,6"
01.09.1997,"103,07","0,00","22,7","13,5"
01.10.1997,"103,04","-0,03","44,1","7,4"
01.11.1997,"102,98","-0,06","24,4",3
01.12.1997,"102,97","-0,01","35,7","1,6"
01.01.1998,"102,97","0,00",40,"1,9"
01.02.1998,"102,99","0,02","16,8","4,6"
01.03.1998,"103,02","0,03","46,3","3,3"
01.04.1998,"103,10","0,08","36,5","10,4"
01.05.1998,"103,13","0,03","36,1","14,6"
01.06.1998,"103,13","0,00","35,5","17,1"
01.07.1998,"103,10","-0,03","73,9","17,4"
01.08.1998,"103,03","-0,07","68,6","16,7"
01.09.1998,"102,99","-0,04","96,7",14
01.10.1998,"102,99","0,00","68,1","8,5"
01.11.1998,"102,99","0,00","47,5","0,1"
01.12.1998,"103,05","0,06","41,6","-0,2"
01.01.1999,"103,09","0,04",46,"1,2"
01.02.1999,"103,18","0,09","52,8","-0,5"
01.03.1999,"103,31","0,13",55,"4,4"
01.04.1999,"103,45","0,14","83,6","9,5"
01.05.1999,"103,53","0,08","41,8",13
01.06.1999,"103,54","0,01",58,"16,2"
01.07.1999,"103,54","0,00","61,6","19,6"
01.08.1999,"103,51","-0,03",14,"17,8"
01.09.1999,"103,39","-0,12","18,4","17,1"
01.10.1999,"103,32","-0,07","43,8",9
01.11.1999,"103,26","-0,06","35,3","2,9"
01.12.1999,"103,25","-0,01","46,7","1,7"
01.01.2000,"103,25","0,00","27,6","-0,1"
01.02.2000,"103,29","0,04","34,4","3,2"
01.03.2000,"103,34","0,05","70,7","4,1"
01.04.2000,"103,42","0,08","21,8","12,1"
01.05.2000,"103,42","0,00","33,5","15,6"
01.06.2000,"103,41","-0,01","30,1","17,3"
01.07.2000,"103,33","-0,08","151,9","16,3"
01.08.2000,"103,29","-0,04","69,7","18,2"
01.09.2000,"103,29","0,00","47,1","12,9"
01.10.2000,"103,28","-0,01","15,7","11,8"
01.11.2000,"103,25","-0,03","47,4","6,5"
01.12.2000,"103,25","0,00","48,1","2,2"
01.01.2001,"103,25","0,00","16,3","-0,1"
01.02.2001,"103,29","0,04","26,9","0,7"
01.03.2001,"103,32","0,03","49,5","2,6"
01.04.2001,"103,39","0,07","36,1",8
01.05.2001,"103,44","0,05",29,"14,4"
01.06.2001,"103,44","0,00","49,9","15,1"
01.07.2001,"103,42","-0,02","76,6","19,9"
01.08.2001,"103,37","-0,05","28,3","19,8"
01.09.2001,"103,33","-0,04","97,6","12,3"
01.10.2001,"103,29","-0,04","20,9",3
01.11.2001,"103,28","-0,01","21,2","-1,6"
01.12.2001,"103,25","-0,03",54,"-0,3"
01.01.2002,"103,25","0,00","29,9","0,7"
01.02.2002,"103,29","0,04","67,2",4
01.03.2002,"103,39","0,10","49,5",5
01.04.2002,"103,51","0,12",15,"8,8"
01.05.2002,"103,53","0,02","40,3","16,8"
01.06.2002,"103,53","0,00","47,3",18
01.07.2002,"103,48","-0,05","61,6","20,3"
01.08.2002,"103,41","-0,07","49,9","21,5"
01.09.2002,"103,36","-0,05","66,2","14,2"
01.10.2002,"103,31","-0,05","82,7","7,7"
01.11.2002,"103,31","0,00","46,2","4,3"
01.12.2002,"103,32","0,01","7,3","-3,6"
01.01.2003,"103,34","0,02","41,7","-1,7"
01.02.2003,"103,38","0,04","5,5","-3,5"
01.03.2003,"103,43","0,05","14,4",3
01.04.2003,"103,46","0,03","12,7","8,2"
01.05.2003,"103,46","0,00","35,2","15,7"
01.06.2003,"103,46","0,00",26,19
01.07.2003,"103,38","-0,08","68,2","19,5"
01.08.2003,"103,31","-0,07","16,8","19,4"
01.09.2003,"103,22","-0,09","11,2","14,7"
01.10.2003,"103,11","-0,11","40,1","5,8"
01.11.2003,"103,06","-0,05",24,"5,6"
01.12.2003,"103,06","0,00","37,9","1,9"
01.01.2004,"103,06","0,00","49,2",-4
01.02.2004,"103,08","0,02","36,6","1,6"
01.03.2004,"103,11","0,03","29,1","4,7"
01.04.2004,"103,15","0,04","31,6","9,4"
01.05.2004,"103,15","0,00","50,3","12,5"
01.06.2004,"103,15","0,00","38,5",16
01.07.2004,"103,10","-0,05","31,7",18
01.08.2004,"103,04","-0,06","77,4",20
01.09.2004,"102,97","-0,07","29,5","14,3"
01.10.2004,"102,90","-0,07","57,3","10,5"
01.11.2004,"102,86","-0,04","46,8","4,2"
01.12.2004,"102,86","0,00","35,8","1,7"
01.01.2005,"102,87","0,01","28,2","1,8"
01.02.2005,"102,92","0,05","51,6","-1,8"
01.03.2005,"102,95","0,03","22,8","1,4"
01.04.2005,"102,99","0,04",31,"9,1"
01.05.2005,"103,04","0,05","88,5","13,6"
01.06.2005,"103,06","0,02","33,6","16,5"
01.07.2005,"103,06","0,00","65,4","20,1"
01.08.2005,"102,98","-0,08","23,1","17,3"
01.09.2005,"102,92","-0,06","24,2","16,2"
01.10.2005,"102,84","-0,08","6,6","10,8"
01.11.2005,"102,77","-0,07","28,5","3,5"
01.12.2005,"102,77","0,00","100,7","0,3"
01.01.2006,"102,78","0,01","19,4","-6,1"
01.02.2006,"102,83","0,05","46,3","-1,3"
01.03.2006,"102,90","0,07","33,3","0,9"
01.04.2006,"102,95","0,05","51,1","9,1"
01.05.2006,"102,97","0,02","50,9","13,6"
01.06.2006,"102,97","0,00",20,"18,1"
01.07.2006,"102,96","-0,01","11,2","23,5"
01.08.2006,"102,84","-0,12","205,5","17,8"
01.09.2006,"102,82","-0,02","13,2","17,1"
01.10.2006,"102,82","0,00","44,7","11,5"
01.11.2006,"102,79","-0,03","42,8","6,8"
01.12.2006,"102,79","0,00","37,6","4,7"
01.01.2007,"102,81","0,02","90,3","4,5"
01.02.2007,"102,87","0,06","49,7","1,2"
01.03.2007,"102,97","0,10","60,9","6,7"
01.04.2007,"103,09","0,12","13,7","10,2"
01.05.2007,"103,13","0,04","46,4","15,2"
01.06.2007,"103,13","0,00","59,3","19,1"
01.07.2007,"103,12","-0,01","136,1","18,8"
01.08.2007,"103,09","-0,03","61,8","18,9"
01.09.2007,"103,08","-0,01","40,3","13,8"
01.10.2007,"103,03","-0,05",16,"8,5"
01.11.2007,"103,01","-0,02","48,1","2,9"
01.12.2007,"103,00","-0,01","27,6","1,2"
01.01.2008,"103,01","0,01","84,8","2,6"
01.02.2008,"103,05","0,04","30,2","4,4"
01.03.2008,"103,16","0,11","50,9","4,7"
01.04.2008,"103,25","0,09","33,9","8,8"
01.05.2008,"103,29","0,04","19,2","14,1"
01.06.2008,"103,29","0,00","14,3",18
01.07.2008,"103,25","-0,04","36,3","19,9"
01.08.2008,"103,14","-0,11","83,3","18,8"
01.09.2008,"103,03","-0,11","22,3","13,7"
01.10.2008,"102,96","-0,07","67,8","9,8"
01.11.2008,"102,94","-0,02","16,4","5,7"
01.12.2008,"102,93","-0,01",20,"1,5"
01.01.2009,"102,93","0,00","21,2","-2,6"
01.02.2009,"102,93","0,00","33,9","-0,3"
01.03.2009,"102,93","0,00",48,"4,2"
01.04.2009,"102,97","0,04","3,5","11,7"
01.05.2009,"102,97","0,00","80,1","13,3"
01.06.2009,"102,97","0,00","104,1","15,9"
01.07.2009,"102,97","0,00","110,2","19,7"
01.08.2009,"102,98","0,01",63,"19,3"
01.09.2009,"102,98","0,00","39,9","16,2"
01.10.2009,"102,91","-0,07","57,5","7,8"
01.11.2009,"102,85","-0,06","42,6","6,8"
01.12.2009,"102,85","0,00","45,3","-0,7"
01.01.2010,"102,85","0,00","52,5","-6,5"
01.02.2010,"102,89","0,04","28,9",-1
01.03.2010,"102,93","0,04","52,6","3,7"
01.04.2010,"103,02","0,09","44,9","8,8"
01.05.2010,"103,14","0,12","100,1","11,5"
