data,poziom_m_npm
1975-11,103.02
1975-12,103.036
1976-01,103.085
1976-02,103.149
1976-03,103.216
1976-04,103.27
1976-05,103.289
1976-06,103.249
1976-07,103.2
1976-08,103.155
1976-09,103.115
1976-10,103.1
1976-11,103.12
1976-12,103.167
1977-01,103.238
1977-02,103.331
1977-03,103.42
1977-04,103.487
1977-05,103.523
1977-06,103.511
1977-07,103.455
1977-08,103.408
1977-09,103.378
1977-10,103.351
1977-11,103.33
1977-12,103.321
1978-01,103.332
1978-02,103.348
1978-03,103.366
1978-04,103.381
1978-05,103.377
1978-06,103.339
1978-07,103.297
1978-08,103.253
1978-09,103.239
1978-10,103.268
1978-11,103.308
1978-12,103.353
1979-01,103.401
1979-02,103.45
1979-03,103.513
1979-04,103.575
1979-05,103.593
1979-06,103.51
1979-07,103.411
1979-08,103.32
1979-09,103.254
1979-10,103.216
1979-11,103.204
1979-12,103.232
1980-01,103.291
1980-02,103.349
1980-03,103.397
1980-04,103.447
1980-05,103.495
1980-06,103.572
1980-07,103.663
1980-08,103.729
1980-09,103.726
1980-10,103.65
1980-11,103.577
1980-12,103.54
1981-01,103.54
1981-02,103.563
1981-03,103.588
1981-04,103.575
1981-05,103.52
1981-06,103.468
1981-07,103.458
1981-08,103.472
1981-09,103.452
1981-10,103.414
1981-11,103.418
1981-12,103.472
1982-01,103.524
1982-02,103.547
1982-03,103.551
1982-04,103.537
1982-05,103.498
1982-06,103.442
1982-07,103.368
1982-08,103.268
1982-09,103.155
1982-10,103.065
1982-11,103.007
1982-12,103.004
1983-01,103.041
1983-02,103.096
1983-03,103.166
1983-04,103.224
1983-05,103.231
1983-06,103.186
1983-07,103.112
1983-08,103.028
1983-09,102.953
1983-10,102.886
1983-11,102.851
1983-12,102.867
1984-01,102.917
1984-02,102.959
1984-03,102.981
1984-04,102.996
1984-05,103.017
1984-06,103.042
1984-07,103.054
1984-08,103.032
1984-09,103.001
1984-10,102.984
1984-11,102.966
1984-12,102.975
1985-01,102.996
1985-02,103.014
1985-03,103.046
1985-04,103.093
1985-05,103.142
1985-06,103.193
1985-07,103.268
1985-08,103.345
1985-09,103.412
1985-10,103.417
1985-11,103.404
1985-12,103.443
1986-01,103.508
1986-02,103.56
1986-03,103.581
1986-04,103.592
1986-05,103.561
1986-06,103.5
1986-07,103.436
1986-08,103.366
1986-09,103.303
1986-10,103.254
1986-11,103.258
1986-12,103.289
1987-01,103.334
1987-02,103.4
1987-03,103.475
1987-04,103.524
1987-05,103.521
1987-06,103.496
1987-07,103.482
1987-08,103.462
1987-09,103.439
1987-10,103.422
1987-11,103.433
1987-12,103.497
1988-01,103.559
1988-02,103.62
1988-03,103.636
1988-04,103.605
1988-05,103.564
1988-06,103.514
1988-07,103.474
1988-08,103.437
1988-09,103.395
1988-10,103.365
1988-11,103.357
1988-12,103.391
1989-01,103.439
1989-02,103.475
1989-03,103.483
1989-04,103.448
1989-05,103.386
1989-06,103.308
1989-07,103.219
1989-08,103.13
1989-09,103.058
1989-10,103.009
1989-11,102.994
1989-12,103.023
1990-01,103.052
1990-02,103.079
1990-03,103.097
1990-04,103.1
1990-05,103.085
1990-06,103.062
1990-07,103.034
1990-08,102.994
1990-09,102.944
1990-10,102.892
1990-11,102.879
1990-12,102.915
1991-01,102.949
1991-02,102.977
1991-03,103.001
1991-04,103.012
1991-05,103.012
1991-06,103.004
1991-07,102.961
1991-08,102.899
1991-09,102.835
1991-10,102.794
1991-11,102.791
1991-12,102.821
1992-01,102.859
1992-02,102.895
1992-03,102.93
1992-04,102.947
1992-05,102.93
1992-06,102.891
1992-07,102.827
1992-08,102.741
1992-09,102.657
1992-10,102.597
1992-11,102.588
1992-12,102.615
1993-01,102.652
1993-02,102.687
1993-03,102.717
1993-04,102.728
1993-05,102.706
1993-06,102.697
1993-07,102.698
1993-08,102.683
1993-09,102.665
1993-10,102.649
1993-11,102.685
1993-12,102.775
1994-01,102.879
1994-02,102.97
1994-03,103.035
1994-04,103.066
1994-05,103.063
1994-06,103.029
1994-07,102.986
1994-08,102.941
1994-09,102.901
1994-10,102.875
1994-11,102.875
1994-12,102.905
1995-01,102.958
1995-02,103.021
1995-03,103.078
1995-04,103.114
1995-05,103.126
1995-06,103.093
1995-07,103.037
1995-08,103.003
1995-09,103.001
1995-10,102.992
1995-11,102.982
1995-12,102.993
1996-01,103.016
1996-02,103.053
1996-03,103.099
1996-04,103.143
1996-05,103.139
1996-06,103.091
1996-07,103.041
1996-08,103.002
1996-09,102.972
1996-10,102.959
1996-11,102.956
1996-12,102.968
1997-01,102.997
1997-02,103.035
1997-03,103.07
1997-04,103.077
1997-05,103.069
1997-06,103.077
1997-07,103.081
1997-08,103.048
1997-09,102.996
1997-10,102.96
1997-11,102.962
1997-12,102.992
1998-01,103.032
1998-02,103.079
1998-03,103.124
1998-04,103.132
1998-05,103.099
1998-06,103.046
1998-07,102.998
1998-08,102.975
1998-09,102.996
1998-10,103.037
1998-11,103.104
1998-12,103.193
1999-01,103.307
1999-02,103.416
1999-03,103.506
1999-04,103.555
1999-05,103.545
1999-06,103.483
1999-07,103.412
1999-08,103.326
1999-09,103.266
1999-10,103.241
1999-11,103.255
1999-12,103.296
2000-01,103.354
2000-02,103.412
2000-03,103.445
2000-04,103.402
2000-05,103.34
2000-06,103.299
2000-07,103.283
2000-08,103.265
2000-09,103.243
2000-10,103.237
2000-11,103.253
2000-12,103.283
2001-01,103.331
2001-02,103.39
2001-03,103.44
2001-04,103.445
2001-05,103.412
2001-06,103.365
2001-07,103.326
2001-08,103.296
2001-09,103.269
2001-10,103.248
2001-11,103.255
2001-12,103.314
2002-01,103.402
2002-02,103.492
2002-03,103.546
2002-04,103.52
2002-05,103.466
2002-06,103.407
2002-07,103.35
2002-08,103.309
2002-09,103.291
2002-10,103.312
2002-11,103.348
2002-12,103.385
2003-01,103.424
2003-02,103.458
2003-03,103.465
2003-04,103.428
2003-05,103.367
2003-06,103.281
2003-07,103.188
2003-08,103.105
2003-09,103.053
2003-10,103.048
2003-11,103.06
2003-12,103.088
2004-01,103.121
2004-02,103.146
2004-03,103.152
2004-04,103.126
2004-05,103.076
2004-06,103.01
2004-07,102.946
2004-08,102.889
2004-09,102.855
2004-10,102.854
2004-11,102.885
2004-12,102.926
2005-01,102.965
2005-02,103.006
2005-03,103.05
2005-04,103.064
2005-05,103.028
2005-06,102.966
2005-07,102.886
2005-08,102.817
2005-09,102.769
2005-10,102.766
2005-11,102.802
2005-12,102.854
2006-01,102.906
2006-02,102.951
2006-03,102.981
2006-04,102.974
2006-05,102.909
2006-06,102.841
2006-07,102.802
2006-08,102.797
2006-09,102.78
2006-10,102.793
2006-11,102.844
2006-12,102.921
2007-01,103.014
2007-02,103.104
2007-03,103.148
2007-04,103.127
2007-05,103.1
2007-06,103.077
2007-07,103.054
2007-08,103.023
2007-09,102.998
2007-10,102.998
2007-11,103.042
2007-12,103.115
2008-01,103.201
2008-02,103.289
2008-03,103.315
2008-04,103.269
2008-05,103.182
2008-06,103.081
2008-07,103.002
2008-08,102.95
2008-09,102.929
2008-10,102.92
2008-11,102.918
2008-12,102.926
2009-01,102.953
2009-02,102.978
2009-03,102.972
2009-04,102.966
2009-05,102.995
2009-06,102.986
2009-07,102.931
2009-08,102.868
2009-09,102.834
2009-10,102.85
2009-11,102.877
2009-12,102.928
2010-01,103.006
2010-02,103.089
2010-03,103.175
2010-04,103.236
2010-05,103.235
2010-06,103.218
