Data,Poziom,Zmiana,Opad,Temperatura
01.11.1992,"96,97",0,"43,7","4,0"
01.12.1992,"96,98","0,01","26,1","-0,6"
01.01.1993,"97,01","0,03","47,7","0,4"
01.02.1993,"97,04","0,03","31,5","-0,8"
01.03.1993,"97,08","0,04","33,2","1,8"
01.04.1993,"97,10","0,02","12,7","9,2"
01.05.1993,"97,10","0,00","25,7","16,4"
01.06.1993,"97,08","-0,02","53,1","15,6"
01.07.1993,"97,06","-0,02","102,3","16,3"
01.08.1993,"97,04","-0,02","42,4","16,3"
01.09.1993,"97,03","-0,01","79,8","12,1"
01.10.1993,"97,03","0,00","16,7","8,0"
01.11.1993,"97,04","0,01","40,7","-0,7"
01.12.1993,"97,06","0,02","91,0","2,2"
01.01.1994,"97,11","0,05","39,5","2,4"
01.02.1994,"97,17","0,06","25,8","-2,2"
01.03.1994,"97,24","0,07","58,7","4,4"
01.04.1994,"97,36","0,12","35,0","9,0"
01.05.1994,"97,46","0,10","64,7","12,6"
01.06.1994,"97,50","0,04","31,8","15,8"
01.07.1994,"97,52","0,02","50,4","22,1"
01.08.1994,"97,47","-0,05","40,4","18,8"
01.09.1994,"97,42","-0,05","91,8","14,3"
01.10.1994,"97,37","-0,05","15,2","6,6"
01.11.1994,"97,35","-0,02","23,4","4,3"
01.12.1994,"97,34","-0,01","43,4","1,8"
01.01.1995,"97,35","0,01","31,4","-0,6"
01.02.1995,"97,41","0,06","36,5","3,5"
01.03.1995,"97,45","0,04","39,8","2,8"
01.04.1995,"97,51","0,06","24,8","8,2"
01.05.1995,"97,55","0,04","34,0","12,8"
01.06.1995,"97,61","0,06","70,3","16,3"
01.07.1995,"97,60","-0,01","56,9","20,6"
01.08.1995,"97,55","-0,05","63,8","19,0"
01.09.1995,"97,52","-0,03","119,8","13,4"
01.10.1995,"97,52","0,00","13,6","10,5"
01.11.1995,"97,50","-0,02","17,0","1,1"
01.12.1995,"97,46","-0,04","18,8","-4,9"
01.01.1996,"97,43","-0,03","8,8","-5,7"
01.02.1996,"97,42","-0,01","35,2","-5,6"
01.03.1996,"97,44","0,02","8,5","-0,9"
01.04.1996,"97,50","0,06","9,8","7,6"
01.05.1996,"97,57","0,07","92,2","13,5"
01.06.1996,"97,64","0,07","25,8","16,6"
01.07.1996,"97,70","0,06","106,9","15,9"
01.08.1996,"97,70","0,00","62,2","18,4"
01.09.1996,"97,67","-0,03","62,5","10,9"
01.10.1996,"97,63","-0,04","26,1","9,5"
01.11.1996,"97,62","-0,01","15,1","5,4"
01.12.1996,"97,61","-0,01","7,6","-4,5"
01.01.1997,"97,60","-0,01","0,8","-3,2"
01.02.1997,"97,60","0,00","49,6","2,9"
01.03.1997,"97,59","-0,01","24,4","4,1"
01.04.1997,"97,60","0,01","15,8","5,5"
01.05.1997,"97,62","0,02","49,8","12,6"
01.06.1997,"97,63","0,01","64,0","16,5"
01.07.1997,"97,62","-0,01","115,5","17,8"
01.08.1997,"97,62","0,00","33,8","19,6"
01.09.1997,"97,57","-0,05","22,7","13,5"
01.10.1997,"97,53","-0,04","44,1","7,4"
01.11.1997,"97,45","-0,08","24,4","3,0"
01.12.1997,"97,43","-0,02","35,7","1,6"
01.01.1998,"97,45","0,02","40,0","1,9"
01.02.1998,"97,47","0,02","16,8","4,6"
01.03.1998,"97,51","0,04","46,3","3,3"
01.04.1998,"97,53","0,02","36,5","10,4"
01.05.1998,"97,54","0,01","36,1","14,6"
01.06.1998,"97,52","-0,02","35,5","17,1"
01.07.1998,"97,47","-0,05","73,9","17,4"
01.08.1998,"97,40","-0,07","68,6","16,7"
01.09.1998,"97,36","-0,04","96,7","14,0"
01.10.1998,"97,33","-0,03","68,1","8,5"
01.11.1998,"97,33","0,00","47,5","0,1"
01.12.1998,"97,35","0,02","41,6","-0,2"
01.01.1999,"97,38","0,03","46,0","1,2"
01.02.1999,"97,51","0,13","52,8","-0,5"
01.03.1999,"97,76","0,25","55,0","4,4"
01.04.1999,"97,99","0,23","83,6","9,5"
01.05.1999,"98,20","0,21","41,8","13,0"
01.06.1999,"98,43","0,23","58,0","16,2"
01.07.1999,"98,42","-0,01","61,6","19,6"
01.08.1999,"98,32","-0,10","14,0","17,8"
01.09.1999,"98,25","-0,07","18,4","17,1"
01.10.1999,"98,14","-0,11","43,8","9,0"
01.11.1999,"98,09","-0,05","35,3","2,9"
01.12.1999,"98,06","-0,03","46,7","1,7"
01.01.2000,"98,08","0,02","27,6","-0,1"
01.02.2000,"98,09","0,01","34,4","3,2"
01.03.2000,"98,11","0,02","70,7","4,1"
01.04.2000,"98,13","0,02","21,8","12,1"
01.05.2000,"98,09","-0,04","33,5","15,6"
01.06.2000,"98,03","-0,06","30,1","17,3"
01.07.2000,"97,98","-0,05","151,9","16,3"
01.08.2000,"97,90","-0,08","69,7","18,2"
01.09.2000,"97,89","-0,01","47,1","12,9"
01.10.2000,"97,87","-0,02","15,7","11,8"
01.11.2000,"97,84","-0,03","47,4","6,5"
01.12.2000,"97,82","-0,02","48,1","2,2"
01.01.2001,"97,83","0,01","16,3","-0,1"
01.02.2001,"97,84","0,01","26,9","0,7"
01.03.2001,"97,88","0,04","49,5","2,6"
01.04.2001,"97,90","0,02","36,1","8,0"
01.05.2001,"97,92","0,02","29,0","14,4"
01.06.2001,"97,93","0,01","49,9","15,1"
01.07.2001,"97,90","-0,03","76,6","19,9"
01.08.2001,"97,88","-0,02","28,3","19,8"
01.09.2001,"97,85","-0,03","97,6","12,3"
01.10.2001,"97,84","-0,01","20,9","3,0"
01.11.2001,"97,83","-0,01","21,2","-1,6"
01.12.2001,"97,81","-0,02","54,0","-0,3"
01.01.2002,"97,84","0,03","29,9","0,7"
01.02.2002,"97,95","0,11","67,2","4,0"
01.03.2002,"98,09","0,14","49,5","5,0"
01.04.2002,"98,21","0,12","15,0","8,8"
01.05.2002,"98,36","0,15","40,3","16,8"
01.06.2002,"98,37","0,01","47,3","18,0"
01.07.2002,"98,31","-0,06","61,6","20,3"
01.08.2002,"98,28","-0,03","49,9","21,5"
01.09.2002,"98,19","-0,09","66,2","14,2"
01.10.2002,"98,15","-0,04","82,7","7,7"
01.11.2002,"98,15","0,00","46,2","4,3"
01.12.2002,"98,17","0,02","7,3","-3,6"
01.01.2003,"98,19","0,02","41,7","-1,7"
01.02.2003,"98,21","0,02","5,5","-3,5"
01.03.2003,"98,22","0,01","14,4","3,0"
01.04.2003,"98,24","0,02","12,7","8,2"
01.05.2003,"98,24","0,00","35,2","15,7"
01.06.2003,"98,20","-0,04","26,0","19,0"
01.07.2003,"98,15","-0,05","68,2","19,5"
01.08.2003,"98,05","-0,10","16,8","19,4"
01.09.2003,"97,97","-0,08","11,2","14,7"
01.10.2003,"97,90","-0,07","40,1","5,8"
01.11.2003,"97,83","-0,07","24,0","5,6"
01.12.2003,"97,80","-0,03","37,9","1,9"
01.01.2004,"97,82","0,02","49,2","-4,0"
01.02.2004,"97,86","0,04","36,6","1,6"
01.03.2004,"97,87","0,01","29,1","4,7"
01.04.2004,"97,87","0,00","31,6","9,4"
01.05.2004,"97,85","-0,02","50,3","12,5"
01.06.2004,"97,80","-0,05","38,5","16,0"
01.07.2004,"97,74","-0,06","31,7","18,0"
01.08.2004,"97,66","-0,08","77,4","20,0"
01.09.2004,"97,60","-0,06","29,5","14,3"
01.10.2004,"97,54","-0,06","57,3","10,5"
01.11.2004,"97,51","-0,03","46,8","4,2"
01.12.2004,"97,49","-0,02","35,8","1,7"
01.01.2005,"97,49","0,00","28,2","1,8"
01.02.2005,"97,49","0,00","51,6","-1,8"
01.03.2005,"97,51","0,02","22,8","1,4"
01.04.2005,"97,52","0,01","31,0","9,1"
01.05.2005,"97,55","0,03","88,5","13,6"
01.06.2005,"97,54","-0,01","33,6","16,5"
01.07.2005,"97,49","-0,05","65,4","20,1"
01.08.2005,"97,41","-0,08","23,1","17,3"
01.09.2005,"97,31","-0,10","24,2","16,2"
01.10.2005,"97,23","-0,08","6,6","10,8"
01.11.2005,"97,13","-0,10","28,5","3,5"
01.12.2005,"97,10","-0,03","100,7","0,3"
01.01.2006,"97,12","0,02","19,4","-6,1"
01.02.2006,"97,14","0,02","46,3","-1,3"
01.03.2006,"97,17","0,03","33,3","0,9"
01.04.2006,"97,19","0,02","51,1","9,1"
01.05.2006,"97,22","0,03","50,9","13,6"
01.06.2006,"97,18","-0,04","20,0","18,1"
01.07.2006,"97,11","-0,07","11,2","23,5"
01.08.2006,"97,07","-0,04","205,5","17,8"
01.09.2006,"96,98","-0,09","13,2","17,1"
01.10.2006,"96,94","-0,04","44,7","11,5"
01.11.2006,"96,92","-0,02","42,8","6,8"
01.12.2006,"96,89","-0,03","37,6","4,7"
01.01.2007,"96,90","0,01","90,3","4,5"
01.02.2007,"96,94","0,04","49,7","1,2"
01.03.2007,"97,00","0,06","60,9","6,7"
01.04.2007,"97,05","0,05","13,7","10,2"
01.05.2007,"97,09","0,04","46,4","15,2"
01.06.2007,"97,06","-0,03","59,3","19,1"
