data,poziom_m_npm_szacunek
1992-11,96.97
1992-12,96.98
1993-01,97.01
1993-02,97.04
1993-03,97.08
1993-04,97.1
1993-05,97.1
1993-06,97.08
1993-07,97.06
1993-08,97.04
1993-09,97.03
1993-10,97.03
1993-11,97.04
1993-12,97.06
1994-01,97.11
1994-02,97.17
1994-03,97.24
1994-04,97.36
1994-05,97.46
1994-06,97.5
1994-07,97.52
1994-08,97.47
1994-09,97.42
1994-10,97.37
1994-11,97.35
1994-12,97.34
1995-01,97.35
1995-02,97.41
1995-03,97.45
1995-04,97.51
1995-05,97.55
1995-06,97.61
1995-07,97.6
1995-08,97.55
1995-09,97.52
1995-10,97.52
1995-11,97.5
1995-12,97.46
1996-01,97.43
1996-02,97.42
1996-03,97.44
1996-04,97.5
1996-05,97.57
1996-06,97.64
1996-07,97.7
1996-08,97.7
1996-09,97.67
1996-10,97.63
1996-11,97.62
1996-12,97.61
1997-01,97.6
1997-02,97.6
1997-03,97.59
1997-04,97.6
1997-05,97.62
1997-06,97.63
1997-07,97.62
1997-08,97.62
1997-09,97.57
1997-10,97.53
1997-11,97.45
1997-12,97.43
1998-01,97.45
1998-02,97.47
1998-03,97.51
1998-04,97.53
1998-05,97.54
1998-06,97.52
1998-07,97.47
1998-08,97.4
1998-09,97.36
1998-10,97.33
1998-11,97.33
1998-12,97.35
1999-01,97.38
1999-02,97.51
1999-03,97.76
1999-04,97.99
1999-05,98.2
1999-06,98.43
1999-07,98.42
1999-08,98.32
1999-09,98.25
1999-10,98.14
1999-11,98.09
1999-12,98.06
2000-01,98.08
2000-02,98.09
2000-03,98.11
2000-04,98.13
2000-05,98.09
2000-06,98.03
2000-07,97.98
2000-08,97.9
2000-09,97.89
2000-10,97.87
2000-11,97.84
2000-12,97.82
2001-01,97.83
2001-02,97.84
2001-03,97.88
2001-04,97.9
2001-05,97.92
2001-06,97.93
2001-07,97.9
2001-08,97.88
2001-09,97.85
2001-10,97.84
2001-11,97.83
2001-12,97.81
2002-01,97.84
2002-02,97.95
2002-03,98.09
2002-04,98.21
2002-05,98.36
2002-06,98.37
2002-07,98.31
2002-08,98.28
2002-09,98.19
2002-10,98.15
2002-11,98.15
2002-12,98.17
2003-01,98.19
2003-02,98.21
2003-03,98.22
2003-04,98.24
2003-05,98.24
2003-06,98.2
2003-07,98.15
2003-08,98.05
2003-09,97.97
2003-10,97.9
