Data,Poziom,Zmiana,Opad,Temperatura,Rezerwuar_sniegu,Opad_efektywny,Snow_add_mm,Rain_part_mm,Melt_mm
1976-01-01,"98,22","0,0","66,1","-2,1",33.05,33.05,33.05,33.05,0.0
1976-02-01,"98,35","0,13","6,9","-3,8",39.95,0.0,6.9,0.0,0.0
1976-03-01,"98,38","0,03","21,1","-1,0",45.225,15.825,5.275,15.825,0.0
1976-04-01,"98,42","0,04","8,2","6,5",22.6125,30.8125,0.0,8.2,22.6125
1976-05-01,"98,4","-0,02","38,6","12,1",11.30625,49.90625,0.0,38.6,11.30625
1976-06-01,"98,33","-0,07","32,9","15,5",5.653124999999999,38.553125,0.0,32.9,5.653124999999999
1976-07-01,"98,29","-0,04","98,7","18,2",2.8265625,101.5265625,0.0,98.7,2.8265625
1976-08-01,"98,26","-0,03","73,8","15,7",1.4132812499999998,75.21328125,0.0,73.8,1.4132812499999998
1976-09-01,"98,23","-0,03","104,8","12,4",0.7066406249999999,105.506640625,0.0,104.8,0.7066406249999999
1976-10-01,"98,28","0,05","32,9","7,1",0.3533203124999999,33.2533203125,0.0,32.9,0.3533203124999999
1976-11-01,"98,3","0,02","36,0","4,6",0.1766601562499999,36.17666015625,0.0,36.0,0.1766601562499999
1976-12-01,"98,34","0,04","43,4","-1,5",11.02666015625,32.55,10.85,32.55,0.0
1977-01-01,"98,41","0,07","43,7","-1,7",21.95166015625,32.775000000000006,10.925,32.775000000000006,0.0
1977-02-01,"98,49","0,08","25,4","0,3",10.975830078125,36.375830078125,0.0,25.4,10.975830078125
1977-03-01,"98,59","0,1","40,6","4,8",5.4879150390625,46.0879150390625,0.0,40.6,5.4879150390625
1977-04-01,"98,64","0,05","43,6","5,1",2.74395751953125,46.34395751953125,0.0,43.6,2.74395751953125
1977-05-01,"98,63","-0,01","78,0","11,7",1.371978759765625,79.37197875976562,0.0,78.0,1.371978759765625
1977-06-01,"98,52","-0,11","14,7","17,2",0.6859893798828125,15.385989379882812,0.0,14.7,0.6859893798828125
1977-07-01,"98,45","-0,07","100,9","16,1",0.3429946899414062,101.2429946899414,0.0,100.9,0.3429946899414062
1977-08-01,"98,5","0,05","95,9","16,1",0.1714973449707031,96.07149734497072,0.0,95.9,0.1714973449707031
