data,poziom m n.p.m. (szacunek)
1970-11,98.47
1970-12,98.45
1971-01,98.36
1971-02,98.32
1971-03,98.32
1971-04,98.36
1971-05,98.4
1971-06,98.38
1971-07,98.33
1971-08,98.27
1971-09,98.21
1971-10,98.18
1971-11,98.18
1971-12,98.21
1972-01,98.24
1972-02,98.27
1972-03,98.31
1972-04,98.34
1972-05,98.34
1972-06,98.32
1972-07,98.29
1972-08,98.26
1972-09,98.23
1972-10,98.21
1972-11,98.21
1972-12,98.23
1973-01,98.26
1973-02,98.33
1973-03,98.39
1973-04,98.42
1973-05,98.41
1973-06,98.38
1973-07,98.35
1973-08,98.3
1973-09,98.25
1973-10,98.22
1973-11,98.24
1973-12,98.28
1974-01,98.32
1974-02,98.37
1974-03,98.38
1974-04,98.35
1974-05,98.31
1974-06,98.29
1974-07,98.3
1974-08,98.28
1974-09,98.26
1974-10,98.29
1974-11,98.34
1974-12,98.39
1975-01,98.43
1975-02,98.46
1975-03,98.48
1975-04,98.45
1975-05,98.4
1975-06,98.34
1975-07,98.26
1975-08,98.2
1975-09,98.16
1975-10,98.15
1975-11,98.18
1975-12,98.23
1976-01,98.3
1976-02,98.36
1976-03,98.41
1976-04,98.41
1976-05,98.38
1976-06,98.33
1976-07,98.29
1976-08,98.25
1976-09,98.26
1976-10,98.3
1976-11,98.35
1976-12,98.41
1977-01,98.49
1977-02,98.57
1977-03,98.61
1977-04,98.63
1977-05,98.59
1977-06,98.51
1977-07,98.5
1977-08,98.49
1977-09,98.47
1977-10,98.44
1977-11,98.42
1977-12,98.45
1978-01,98.48
1978-02,98.48
1978-03,98.48
1978-04,98.48
1978-05,98.47
1978-06,98.44
1978-07,98.4
1978-08,98.39
1978-09,98.38
1978-10,98.37
1978-11,98.35
1978-12,98.37
1979-01,98.4
1979-02,98.46
1979-03,98.52
1979-04,98.55
1979-05,98.47
1979-06,98.39
1979-07,98.3
1979-08,98.25
1979-09,98.22
1979-10,98.21
1979-11,98.24
1979-12,98.29
1980-01,98.33
1980-02,98.38
1980-03,98.41
1980-04,98.46
1980-05,98.54
1980-06,98.63
1980-07,98.71
1980-08,98.69
1980-09,98.59
1980-10,98.52
1980-11,98.47
1980-12,98.48
1981-01,98.53
1981-02,98.55
1981-03,98.56
1981-04,98.54
1981-05,98.52
1981-06,98.52
1981-07,98.55
1981-08,98.55
1981-09,98.53
1981-10,98.56
1981-11,98.61
1981-12,98.67
1982-01,98.65
1982-02,98.62
1982-03,98.6
1982-04,98.56
1982-05,98.5
1982-06,98.42
1982-07,98.33
1982-08,98.23
1982-09,98.16
1982-10,98.12
1982-11,98.14
1982-12,98.19
1983-01,98.26
1983-02,98.33
1983-03,98.38
1983-04,98.38
1983-05,98.32
1983-06,98.25
1983-07,98.17
1983-08,98.11
1983-09,98.06
1983-10,98.04
1983-11,98.06
1983-12,98.11
1984-01,98.16
1984-02,98.21
1984-03,98.24
1984-04,98.29
1984-05,98.32
1984-06,98.31
1984-07,98.27
1984-08,98.23
1984-09,98.21
1984-10,98.18
1984-11,98.18
1984-12,98.19
1985-01,98.21
1985-02,98.26
1985-03,98.3
1985-04,98.33
1985-05,98.35
1985-06,98.4
1985-07,98.44
1985-08,98.47
1985-09,98.46
1985-10,98.42
1985-11,98.41
1985-12,98.45
1986-01,98.49
1986-02,98.5
1986-03,98.52
1986-04,98.52
1986-05,98.46
1986-06,98.4
1986-07,98.31
1986-08,98.22
1986-09,98.18
1986-10,98.18
1986-11,98.21
1986-12,98.24
1987-01,98.29
1987-02,98.34
1987-03,98.39
1987-04,98.41
1987-05,98.39
1987-06,98.38
1987-07,98.35
1987-08,98.3
1987-09,98.27
1987-10,98.25
1987-11,98.3
1987-12,98.37
1988-01,98.44
1988-02,98.52
1988-03,98.56
1988-04,98.51
1988-05,98.46
1988-06,98.38
1988-07,98.34
1988-08,98.3
1988-09,98.27
1988-10,98.23
1988-11,98.26
1988-12,98.29
1989-01,98.34
1989-02,98.36
1989-03,98.36
1989-04,98.31
1989-05,98.26
1989-06,98.17
1989-07,98.1
1989-08,98.04
1989-09,98.0
1989-10,97.99
1989-11,98.01
1989-12,98.05
1990-01,98.09
1990-02,98.12
1990-03,98.13
1990-04,98.13
1990-05,98.11
1990-06,98.08
1990-07,98.05
1990-08,98.01
1990-09,97.98
1990-10,98.0
1990-11,98.04
1990-12,98.05
1991-01,98.07
1991-02,98.1
1991-03,98.12
1991-04,98.15
1991-05,98.15
1991-06,98.13
1991-07,98.07
1991-08,98.0
1991-09,97.96
1991-10,97.93
1991-11,97.94
1991-12,97.96
1992-01,98.01
1992-02,98.07
1992-03,98.11
1992-04,98.09
1992-05,98.02
1992-06,97.93
1992-07,97.83
1992-08,97.76
1992-09,97.71
1992-10,97.7
1992-11,97.72
1992-12,97.75
1993-01,97.79
1993-02,97.84
1993-03,97.85
1993-04,97.82
1993-05,97.79
1993-06,97.8
1993-07,97.79
1993-08,97.77
1993-09,97.76
1993-10,97.77
1993-11,97.84
1993-12,97.91
1994-01,98.0
1994-02,98.07
1994-03,98.14
1994-04,98.18
1994-05,98.15
1994-06,98.08
1994-07,98.03
1994-08,97.98
1994-09,97.96
1994-10,97.96
1994-11,98.0
1994-12,98.06
1995-01,98.12
1995-02,98.19
1995-03,98.22
1995-04,98.23
1995-05,98.2
1995-06,98.15
1995-07,98.11
1995-08,98.12
1995-09,98.11
1995-10,98.09
1995-11,98.09
1995-12,98.11
1996-01,98.13
1996-02,98.17
1996-03,98.23
1996-04,98.26
1996-05,98.23
1996-06,98.21
1996-07,98.17
1996-08,98.15
1996-09,98.14
1996-10,98.13
1996-11,98.12
1996-12,98.12
1997-01,98.15
1997-02,98.17
1997-03,98.18
1997-04,98.17
1997-05,98.16
1997-06,98.14
1997-07,98.1
1997-08,98.03
1997-09,97.99
1997-10,97.98
1997-11,98.02
1997-12,98.06
1998-01,98.11
1998-02,98.15
1998-03,98.19
1998-04,98.17
1998-05,98.1
1998-06,98.06
1998-07,98.03
1998-08,98.03
1998-09,98.04
1998-10,98.07
1998-11,98.1
1998-12,98.17
1999-01,98.25
1999-02,98.32
1999-03,98.39
1999-04,98.39
1999-05,98.32
1999-06,98.23
1999-07,98.14
1999-08,98.07
1999-09,98.02
1999-10,98.02
1999-11,98.04
1999-12,98.08
2000-01,98.14
2000-02,98.2
2000-03,98.2
2000-04,98.16
2000-05,98.12
2000-06,98.12
2000-07,98.11
2000-08,98.08
2000-09,98.05
2000-10,98.05
2000-11,98.08
2000-12,98.12
2001-01,98.15
2001-02,98.19
2001-03,98.23
2001-04,98.23
2001-05,98.21
2001-06,98.18
2001-07,98.15
2001-08,98.13
2001-09,98.11
2001-10,98.09
2001-11,98.12
2001-12,98.19
2002-01,98.27
2002-02,98.33
2002-03,98.37
2002-04,98.35
2002-05,98.31
2002-06,98.24
2002-07,98.19
2002-08,98.16
2002-09,98.17
2002-10,98.19
2002-11,98.23
2002-12,98.26
2003-01,98.28
2003-02,98.3
2003-03,98.3
2003-04,98.27
2003-05,98.19
2003-06,98.11
2003-07,98.03
2003-08,97.96
2003-09,97.91
2003-10,97.91
2003-11,97.94
2003-12,97.99
2004-01,98.04
2004-02,98.08
2004-03,98.08
2004-04,98.05
2004-05,97.99
2004-06,97.93
2004-07,97.88
2004-08,97.83
2004-09,97.82
2004-10,97.83
2004-11,97.85
2004-12,97.89
2005-01,97.93
2005-02,97.98
2005-03,98.03
2005-04,98.01
2005-05,97.97
2005-06,97.87
2005-07,97.8
2005-08,97.72
2005-09,97.66
2005-10,97.66
2005-11,97.69
2005-12,97.72
2006-01,97.75
2006-02,97.78
2006-03,97.83
2006-04,97.79
2006-05,97.74
2006-06,97.71
2006-07,97.69
2006-08,97.67
2006-09,97.64
2006-10,97.66
2006-11,97.71
2006-12,97.78
2007-01,97.86
2007-02,97.93
2007-03,97.95
2007-04,97.94
2007-05,97.93
2007-06,97.91
2007-07,97.88
2007-08,97.84
2007-09,97.81
2007-10,97.82
2007-11,97.88
2007-12,97.94
2008-01,98.02
2008-02,98.08
2008-03,98.08
2008-04,98.02
2008-05,97.94
2008-06,97.86
2008-07,97.8
2008-08,97.76
2008-09,97.75
2008-10,97.75
2008-11,97.75
2008-12,97.78
2009-01,97.82
2009-02,97.84
2009-03,97.81
2009-04,97.85
2009-05,97.9
2009-06,97.85
2009-07,97.8
2009-08,97.75
2009-09,97.74
2009-10,97.76
2009-11,97.78
2009-12,97.81
2010-01,97.88
2010-02,97.96
2010-03,98.04
2010-04,98.08
2010-05,98.05
2010-06,98.06
