Data,Poziom,Zmiana,Opad,Temperatura
01.01.1997,"98,15",0,"0,8","-3,2"
01.02.1997,"98,17","0,02","49,6","2,9"
01.03.1997,"98,18","0,01","24,4","4,1"
01.04.1997,"98,17","-0,01","15,8","5,5"
01.05.1997,"98,16","-0,01","49,8","12,6"
01.06.1997,"98,14","-0,02",64,"16,5"
01.07.1997,"98,10","-0,04","115,5","17,8"
01.08.1997,"98,03","-0,07","33,8","19,6"
01.09.1997,"97,99","-0,04","22,7","13,5"
01.10.1997,"97,98","-0,01","44,1","7,4"
01.11.1997,"98,02","0,04","24,4",3
01.12.1997,"98,06","0,04","35,7","1,6"
01.01.1998,"98,11","0,05",40,"1,9"
01.02.1998,"98,15","0,04","16,8","4,6"
01.03.1998,"98,19","0,04","46,3","3,3"
01.04.1998,"98,17","-0,02","36,5","10,4"
01.05.1998,"98,10","-0,07","36,1","14,6"
01.06.1998,"98,06","-0,04","35,5","17,1"
01.07.1998,"98,03","-0,03","73,9","17,4"
01.08.1998,"98,03","0,00","68,6","16,7"
01.09.1998,"98,04","0,01","96,7",14
01.10.1998,"98,07","0,03","68,1","8,5"
01.11.1998,"98,10","0,03","47,5","0,1"
01.12.1998,"98,17","0,07","41,6","-0,2"
01.01.1999,"98,25","0,08",46,"1,2"
01.02.1999,"98,32","0,07","52,8","-0,5"
01.03.1999,"98,39","0,07",55,"4,4"
01.04.1999,"98,39","0,00","83,6","9,5"
01.05.1999,"98,32","-0,07","41,8",13
01.06.1999,"98,23","-0,09",58,"16,2"
01.07.1999,"98,14","-0,09","61,6","19,6"
01.08.1999,"98,07","-0,07",14,"17,8"
01.09.1999,"98,02","-0,05","18,4","17,1"
01.10.1999,"98,02","0,00","43,8",9
01.11.1999,"98,04","0,02","35,3","2,9"
01.12.1999,"98,08","0,04","46,7","1,7"
01.01.2000,"98,14","0,06","27,6","-0,1"
01.02.2000,"98,20","0,06","34,4","3,2"
01.03.2000,"98,20","0,00","70,7","4,1"
01.04.2000,"98,16","-0,04","21,8","12,1"
01.05.2000,"98,12","-0,04","33,5","15,6"
01.06.2000,"98,12","0,00","30,1","17,3"
01.07.2000,"98,11","-0,01","151,9","16,3"
01.08.2000,"98,08","-0,03","69,7","18,2"
01.09.2000,"98,05","-0,03","47,1","12,9"
01.10.2000,"98,05","0,00","15,7","11,8"
01.11.2000,"98,08","0,03","47,4","6,5"
01.12.2000,"98,12","0,04","48,1","2,2"
01.01.2001,"98,15","0,03","16,3","-0,1"
01.02.2001,"98,19","0,04","26,9","0,7"
01.03.2001,"98,23","0,04","49,5","2,6"
01.04.2001,"98,23","0,00","36,1",8
01.05.2001,"98,21","-0,02",29,"14,4"
01.06.2001,"98,18","-0,03","49,9","15,1"
01.07.2001,"98,15","-0,03","76,6","19,9"
01.08.2001,"98,13","-0,02","28,3","19,8"
01.09.2001,"98,11","-0,02","97,6","12,3"
01.10.2001,"98,09","-0,02","20,9",3
