data,poziom_m_npm_szacunek
1992-11,85.61
1992-12,85.64
1993-01,85.71
1993-02,85.78
1993-03,85.86
1993-04,85.95
1993-05,85.98
1993-06,85.93
1993-07,85.9
1993-08,85.91
1993-09,85.93
1993-10,85.97
1993-11,86.01
1993-12,86.08
1994-01,86.16
1994-02,86.24
1994-03,86.27
1994-04,86.28
1994-05,86.19
1994-06,86.09
1994-07,85.98
1994-08,85.89
1994-09,85.86
1994-10,85.88
1994-11,85.93
1994-12,86.01
1995-01,86.09
1995-02,86.14
1995-03,86.15
1995-04,86.12
1995-05,86.07
1995-06,86.0
1995-07,85.94
1995-08,85.88
1995-09,85.96
1995-10,86.01
1995-11,86.07
1995-12,86.05
1996-01,86.05
1996-02,86.05
1996-03,86.06
1996-04,86.12
1996-05,86.14
1996-06,86.1
1996-07,86.05
1996-08,85.98
1996-09,85.97
1996-10,85.98
1996-11,85.99
1996-12,85.99
1997-01,86.0
1997-02,86.0
1997-03,86.03
1997-04,86.08
1997-05,86.08
1997-06,86.03
1997-07,86.01
1997-08,86.03
1997-09,85.96
1997-10,85.92
1997-11,85.89
1997-12,85.95
1998-01,86.0
1998-02,86.06
1998-03,86.1
1998-04,86.11
1998-05,86.09
1998-06,86.02
1998-07,85.94
1998-08,85.88
1998-09,85.83
1998-10,85.84
1998-11,85.92
1998-12,86.01
1999-01,86.12
1999-02,86.22
1999-03,86.3
1999-04,86.29
1999-05,86.26
1999-06,86.17
1999-07,86.08
1999-08,85.96
1999-09,85.89
1999-10,85.82
1999-11,85.81
1999-12,85.85
2000-01,85.92
2000-02,86.02
2000-03,86.09
2000-04,86.13
2000-05,86.04
2000-06,85.93
2000-07,85.86
2000-08,85.84
2000-09,85.86
2000-10,85.87
2000-11,85.88
2000-12,85.9
2001-01,85.97
2001-02,86.04
2001-03,86.12
2001-04,86.17
2001-05,86.16
2001-06,86.11
2001-07,86.07
2001-08,86.04
2001-09,86.05
2001-10,86.11
2001-11,86.13
2001-12,86.11
2002-01,86.15
2002-02,86.25
2002-03,86.31
2002-04,86.27
2002-05,86.19
2002-06,86.11
2002-07,86.03
2002-08,85.95
2002-09,85.91
2002-10,85.97
2002-11,86.06
2002-12,86.13
2003-01,86.16
2003-02,86.14
2003-03,86.15
2003-04,86.15
2003-05,86.1
2003-06,86.0
2003-07,85.91
2003-08,85.77
2003-09,85.67
2003-10,85.59
2003-11,85.56
2003-12,85.63
2004-01,85.71
2004-02,85.84
2004-03,85.94
2004-04,86.02
2004-05,86.07
2004-06,86.03
2004-07,85.94
2004-08,85.83
2004-09,85.75
2004-10,85.68
2004-11,85.67
2004-12,85.69
2005-01,85.74
2005-02,85.82
2005-03,85.93
2005-04,86.05
2005-05,86.11
2005-06,86.1
2005-07,85.99
2005-08,85.88
2005-09,85.73
2005-10,85.68
2005-11,85.63
2005-12,85.66
2006-01,85.73
2006-02,85.81
2006-03,85.93
2006-04,86.04
2006-05,86.11
2006-06,86.06
2006-07,85.94
2006-08,85.88
2006-09,85.84
2006-10,85.88
2006-11,85.91
2006-12,85.97
2007-01,86.06
2007-02,86.15
2007-03,86.24
2007-04,86.25
2007-05,86.16
2007-06,86.07
2007-07,86.02
2007-08,86.05
2007-09,86.07
2007-10,86.05
2007-11,86.04
2007-12,86.07
2008-01,86.13
2008-02,86.22
2008-03,86.26
2008-04,86.24
2008-05,86.17
2008-06,86.04
2008-07,85.93
2008-08,85.81
2008-09,85.75
2008-10,85.71
2008-11,85.72
2008-12,85.77
2009-01,85.82
2009-02,85.87
2009-03,85.92
2009-04,85.97
2009-05,85.96
2009-06,85.95
2009-07,86.0
2009-08,86.0
2009-09,85.92
2009-10,85.87
2009-11,85.87
2009-12,85.96
2010-01,86.04
2010-02,86.11
2010-03,86.19
2010-04,86.22
2010-05,86.23
2010-06,86.2
2010-07,86.14
2010-08,86.12
2010-09,86.17
2010-10,86.2
2010-11,86.22
2010-12,86.32
2011-01,86.39
2011-02,86.44
2011-03,86.37
2011-04,86.28
2011-05,86.15
2011-06,86.05
2011-07,85.96
2011-08,85.9
2011-09,85.86
2011-10,85.81
2011-11,85.78
2011-12,85.79
2012-01,85.86
2012-02,85.93
2012-03,86.01
2012-04,86.03
2012-05,85.98
2012-06,85.93
2012-07,85.86
2012-08,85.8
2012-09,85.72
2012-10,85.65
2012-11,85.61
2012-12,85.63
2013-01,85.72
2013-02,85.86
2013-03,85.99
2013-04,86.08
2013-05,86.11
2013-06,86.05
2013-07,85.96
2013-08,85.88
2013-09,85.81
2013-10,85.8
2013-11,85.89
2013-12,85.97
2014-01,86.06
2014-02,86.12
2014-03,86.17
2014-04,86.18
2014-05,86.14
2014-06,86.05
2014-07,85.94
2014-08,85.81
2014-09,85.7
2014-10,85.65
2014-11,85.61
2014-12,85.64
2015-01,85.69
2015-02,85.76
2015-03,85.81
2015-04,85.88
2015-05,85.89
2015-06,85.82
2015-07,85.73
2015-08,85.61
2015-09,85.49
2015-10,85.39
2015-11,85.33
2015-12,85.34
2016-01,85.37
2016-02,85.4
2016-03,85.45
2016-04,85.49
2016-05,85.5
2016-06,85.45
2016-07,85.4
2016-08,85.36
2016-09,85.35
2016-10,85.37
2016-11,85.48
2016-12,85.61
2017-01,85.78
2017-02,85.93
2017-03,86.03
2017-04,86.09
2017-05,86.1
2017-06,86.05
2017-07,85.98
2017-08,85.92
2017-09,85.93
2017-10,86.01
2017-11,86.1
2017-12,86.18
2018-01,86.24
2018-02,86.26
2018-03,86.23
2018-04,86.16
2018-05,86.09
2018-06,86.02
2018-07,85.95
2018-08,85.88
2018-09,85.8
2018-10,85.75
2018-11,85.7
2018-12,85.74
2019-01,85.83
2019-02,85.94
2019-03,86.05
2019-04,86.1
2019-05,86.05
2019-06,85.96
2019-07,85.85
2019-08,85.74
2019-09,85.63
2019-10,85.56
2019-11,85.53
2019-12,85.53
2020-01,85.58
2020-02,85.66
2020-03,85.75
2020-04,85.8
2020-05,85.78
2020-06,85.76
2020-07,85.76
2020-08,85.73
2020-09,85.68
2020-10,85.67
2020-11,85.74
2020-12,85.83
2021-01,85.95
2021-02,86.09
2021-03,86.17
2021-04,86.21
2021-05,86.19
2021-06,86.15
2021-07,86.11
2021-08,86.06
2021-09,86.04
2021-10,86.01
2021-11,86.0
2021-12,86.03
2022-01,86.09
2022-02,86.13
2022-03,86.16
2022-04,86.13
2022-05,86.09
2022-06,86.0
2022-07,85.91
2022-08,85.82
2022-09,85.74
2022-10,85.7
2022-11,85.66
2022-12,85.63
2023-01,85.67
2023-02,85.79
2023-03,85.94
2023-04,86.04
2023-05,86.06
2023-06,85.96
2023-07,85.83
2023-08,85.71
2023-09,85.62
2023-10,85.57
2023-11,85.54
