Data,Poziom,Zmiana,Opad,Temperatura
01.11.1992,"85,61",0,"43,7","4,0"
01.12.1992,"85,64","0,03","26,1","-0,6"
01.01.1993,"85,71","0,07","47,7","0,4"
01.02.1993,"85,78","0,07","31,5","-0,8"
01.03.1993,"85,86","0,08","33,2","1,8"
01.04.1993,"85,95","0,09","12,7","9,2"
01.05.1993,"85,98","0,03","25,7","16,4"
01.06.1993,"85,93","-0,05","53,1","15,6"
01.07.1993,"85,90","-0,03","102,3","16,3"
01.08.1993,"85,91","0,01","42,4","16,3"
01.09.1993,"85,93","0,02","79,8","12,1"
01.10.1993,"85,97","0,04","16,7","8,0"
01.11.1993,"86,01","0,04","40,7","-0,7"
01.12.1993,"86,08","0,07","91,0","2,2"
01.01.1994,"86,16","0,08","39,5","2,4"
01.02.1994,"86,24","0,08","25,8","-2,2"
01.03.1994,"86,27","0,03","58,7","4,4"
01.04.1994,"86,28","0,01","35,0","9,0"
01.05.1994,"86,19","-0,09","64,7","12,6"
01.06.1994,"86,09","-0,10","31,8","15,8"
01.07.1994,"85,98","-0,11","50,4","22,1"
01.08.1994,"85,89","-0,09","40,4","18,8"
01.09.1994,"85,86","-0,03","91,8","14,3"
01.10.1994,"85,88","0,02","15,2","6,6"
01.11.1994,"85,93","0,05","23,4","4,3"
01.12.1994,"86,01","0,08","43,4","1,8"
01.01.1995,"86,09","0,08","31,4","-0,6"
01.02.1995,"86,14","0,05","36,5","3,5"
01.03.1995,"86,15","0,01","39,8","2,8"
01.04.1995,"86,12","-0,03","24,8","8,2"
01.05.1995,"86,07","-0,05","34,0","12,8"
01.06.1995,"86,00","-0,07","70,3","16,3"
01.07.1995,"85,94","-0,06","56,9","20,6"
01.08.1995,"85,88","-0,06","63,8","19,0"
01.09.1995,"85,96","0,08","119,8","13,4"
01.10.1995,"86,01","0,05","13,6","10,5"
01.11.1995,"86,07","0,06","17,0","1,1"
01.12.1995,"86,05","-0,02","18,8","-4,9"
01.01.1996,"86,05","0,00","8,8","-5,7"
01.02.1996,"86,05","0,00","35,2","-5,6"
01.03.1996,"86,06","0,01","8,5","-0,9"
01.04.1996,"86,12","0,06","9,8","7,6"
01.05.1996,"86,14","0,02","92,2","13,5"
01.06.1996,"86,10","-0,04","25,8","16,6"
01.07.1996,"86,05","-0,05","106,9","15,9"
01.08.1996,"85,98","-0,07","62,2","18,4"
01.09.1996,"85,97","-0,01","62,5","10,9"
01.10.1996,"85,98","0,01","26,1","9,5"
01.11.1996,"85,99","0,01","15,1","5,4"
01.12.1996,"85,99","0,00","7,6","-4,5"
01.01.1997,"86,00","0,01","0,8","-3,2"
01.02.1997,"86,00","0,00","49,6","2,9"
01.03.1997,"86,03","0,03","24,4","4,1"
01.04.1997,"86,08","0,05","15,8","5,5"
01.05.1997,"86,08","0,00","49,8","12,6"
01.06.1997,"86,03","-0,05","64,0","16,5"
01.07.1997,"86,01","-0,02","115,5","17,8"
01.08.1997,"86,03","0,02","33,8","19,6"
01.09.1997,"85,96","-0,07","22,7","13,5"
01.10.1997,"85,92","-0,04","44,1","7,4"
01.11.1997,"85,89","-0,03","24,4","3,0"
01.12.1997,"85,95","0,06","35,7","1,6"
01.01.1998,"86,00","0,05","40,0","1,9"
01.02.1998,"86,06","0,06","16,8","4,6"
01.03.1998,"86,10","0,04","46,3","3,3"
01.04.1998,"86,11","0,01","36,5","10,4"
01.05.1998,"86,09","-0,02","36,1","14,6"
01.06.1998,"86,02","-0,07","35,5","17,1"
01.07.1998,"85,94","-0,08","73,9","17,4"
01.08.1998,"85,88","-0,06","68,6","16,7"
01.09.1998,"85,83","-0,05","96,7","14,0"
01.10.1998,"85,84","0,01","68,1","8,5"
01.11.1998,"85,92","0,08","47,5","0,1"
01.12.1998,"86,01","0,09","41,6","-0,2"
01.01.1999,"86,12","0,11","46,0","1,2"
01.02.1999,"86,22","0,10","52,8","-0,5"
01.03.1999,"86,30","0,08","55,0","4,4"
01.04.1999,"86,29","-0,01","83,6","9,5"
01.05.1999,"86,26","-0,03","41,8","13,0"
01.06.1999,"86,17","-0,09","58,0","16,2"
01.07.1999,"86,08","-0,09","61,6","19,6"
01.08.1999,"85,96","-0,12","14,0","17,8"
01.09.1999,"85,89","-0,07","18,4","17,1"
01.10.1999,"85,82","-0,07","43,8","9,0"
01.11.1999,"85,81","-0,01","35,3","2,9"
01.12.1999,"85,85","0,04","46,7","1,7"
01.01.2000,"85,92","0,07","27,6","-0,1"
01.02.2000,"86,02","0,10","34,4","3,2"
01.03.2000,"86,09","0,07","70,7","4,1"
01.04.2000,"86,13","0,04","21,8","12,1"
01.05.2000,"86,04","-0,09","33,5","15,6"
01.06.2000,"85,93","-0,11","30,1","17,3"
01.07.2000,"85,86","-0,07","151,9","16,3"
01.08.2000,"85,84","-0,02","69,7","18,2"
01.09.2000,"85,86","0,02","47,1","12,9"
01.10.2000,"85,87","0,01","15,7","11,8"
01.11.2000,"85,88","0,01","47,4","6,5"
01.12.2000,"85,90","0,02","48,1","2,2"
01.01.2001,"85,97","0,07","16,3","-0,1"
01.02.2001,"86,04","0,07","26,9","0,7"
01.03.2001,"86,12","0,08","49,5","2,6"
01.04.2001,"86,17","0,05","36,1","8,0"
01.05.2001,"86,16","-0,01","29,0","14,4"
01.06.2001,"86,11","-0,05","49,9","15,1"
01.07.2001,"86,07","-0,04","76,6","19,9"
01.08.2001,"86,04","-0,03","28,3","19,8"
01.09.2001,"86,05","0,01","97,6","12,3"
01.10.2001,"86,11","0,06","20,9","3,0"
01.11.2001,"86,13","0,02","21,2","-1,6"
01.12.2001,"86,11","-0,02","54,0","-0,3"
01.01.2002,"86,15","0,04","29,9","0,7"
01.02.2002,"86,25","0,10","67,2","4,0"
01.03.2002,"86,31","0,06","49,5","5,0"
01.04.2002,"86,27","-0,04","15,0","8,8"
01.05.2002,"86,19","-0,08","40,3","16,8"
01.06.2002,"86,11","-0,08","47,3","18,0"
01.07.2002,"86,03","-0,08","61,6","20,3"
01.08.2002,"85,95","-0,08","49,9","21,5"
01.09.2002,"85,91","-0,04","66,2","14,2"
01.10.2002,"85,97","0,06","82,7","7,7"
01.11.2002,"86,06","0,09","46,2","4,3"
01.12.2002,"86,13","0,07","7,3","-3,6"
01.01.2003,"86,16","0,03","41,7","-1,7"
01.02.2003,"86,14","-0,02","5,5","-3,5"
01.03.2003,"86,15","0,01","14,4","3,0"
01.04.2003,"86,15","0,00","12,7","8,2"
01.05.2003,"86,10","-0,05","35,2","15,7"
01.06.2003,"86,00","-0,10","26,0","19,0"
01.07.2003,"85,91","-0,09","68,2","19,5"
01.08.2003,"85,77","-0,14","16,8","19,4"
01.09.2003,"85,67","-0,10","11,2","14,7"
01.10.2003,"85,59","-0,08","40,1","5,8"
01.11.2003,"85,56","-0,03","24,0","5,6"
01.12.2003,"85,63","0,07","37,9","1,9"
01.01.2004,"85,71","0,08","49,2","-4,0"
01.02.2004,"85,84","0,13","36,6","1,6"
01.03.2004,"85,94","0,10","29,1","4,7"
01.04.2004,"86,02","0,08","31,6","9,4"
01.05.2004,"86,07","0,05","50,3","12,5"
01.06.2004,"86,03","-0,04","38,5","16,0"
01.07.2004,"85,94","-0,09","31,7","18,0"
01.08.2004,"85,83","-0,11","77,4","20,0"
01.09.2004,"85,75","-0,08","29,5","14,3"
01.10.2004,"85,68","-0,07","57,3","10,5"
01.11.2004,"85,67","-0,01","46,8","4,2"
01.12.2004,"85,69","0,02","35,8","1,7"
01.01.2005,"85,74","0,05","28,2","1,8"
01.02.2005,"85,82","0,08","51,6","-1,8"
01.03.2005,"85,93","0,11","22,8","1,4"
01.04.2005,"86,05","0,12","31,0","9,1"
01.05.2005,"86,11","0,06","88,5","13,6"
01.06.2005,"86,10","-0,01","33,6","16,5"
01.07.2005,"85,99","-0,11","65,4","20,1"
01.08.2005,"85,88","-0,11","23,1","17,3"
01.09.2005,"85,73","-0,15","24,2","16,2"
01.10.2005,"85,68","-0,05","6,6","10,8"
01.11.2005,"85,63","-0,05","28,5","3,5"
01.12.2005,"85,66","0,03","100,7","0,3"
01.01.2006,"85,73","0,07","19,4","-6,1"
01.02.2006,"85,81","0,08","46,3","-1,3"
01.03.2006,"85,93","0,12","33,3","0,9"
01.04.2006,"86,04","0,11","51,1","9,1"
01.05.2006,"86,11","0,07","50,9","13,6"
01.06.2006,"86,06","-0,05","20,0","18,1"
01.07.2006,"85,94","-0,12","11,2","23,5"
01.08.2006,"85,88","-0,06","205,5","17,8"
01.09.2006,"85,84","-0,04","13,2","17,1"
01.10.2006,"85,88","0,04","44,7","11,5"
01.11.2006,"85,91","0,03","42,8","6,8"
01.12.2006,"85,97","0,06","37,6","4,7"
01.01.2007,"86,06","0,09","90,3","4,5"
01.02.2007,"86,15","0,09","49,7","1,2"
01.03.2007,"86,24","0,09","60,9","6,7"
01.04.2007,"86,25","0,01","13,7","10,2"
01.05.2007,"86,16","-0,09","46,4","15,2"
01.06.2007,"86,07","-0,09","59,3","19,1"
01.07.2007,"86,02","-0,05","136,1","18,8"
01.08.2007,"86,05","0,03","61,8","18,9"
01.09.2007,"86,07","0,02","40,3","13,8"
01.10.2007,"86,05","-0,02","16,0","8,5"
01.11.2007,"86,04","-0,01","48,1","2,9"
01.12.2007,"86,07","0,03","27,6","1,2"
01.01.2008,"86,13","0,06","84,8","2,6"
01.02.2008,"86,22","0,09","30,2","4,4"
01.03.2008,"86,26","0,04","50,9","4,7"
01.04.2008,"86,24","-0,02","33,9","8,8"
01.05.2008,"86,17","-0,07","19,2","14,1"
01.06.2008,"86,04","-0,13","14,3","18,0"
01.07.2008,"85,93","-0,11","36,3","19,9"
01.08.2008,"85,81","-0,12","83,3","18,8"
01.09.2008,"85,75","-0,06","22,3","13,7"
01.10.2008,"85,71","-0,04","67,8","9,8"
01.11.2008,"85,72","0,01","16,4","5,7"
01.12.2008,"85,77","0,05","20,0","1,5"
01.01.2009,"85,82","0,05","21,2","-2,6"
01.02.2009,"85,87","0,05","33,9","-0,3"
01.03.2009,"85,92","0,05","48,0","4,2"
01.04.2009,"85,97","0,05","3,5","11,7"
01.05.2009,"85,96","-0,01","80,1","13,3"
01.06.2009,"85,95","-0,01","104,1","15,9"
01.07.2009,"86,00","0,05","110,2","19,7"
01.08.2009,"86,00","0,00","63,0","19,3"
01.09.2009,"85,92","-0,08","39,9","16,2"
01.10.2009,"85,87","-0,05","57,5","7,8"
01.11.2009,"85,87","0,00","42,6","6,8"
01.12.2009,"85,96","0,09","45,3","-0,7"
01.01.2010,"86,04","0,08","52,5","-6,5"
01.02.2010,"86,11","0,07","28,9","-1,0"
01.03.2010,"86,19","0,08","52,6","3,7"
01.04.2010,"86,22","0,03","44,9","8,8"
01.05.2010,"86,23","0,01","100,1","11,5"
01.06.2010,"86,20","-0,03","62,1","17,1"
01.07.2010,"86,14","-0,06","81,5","21,7"
01.08.2010,"86,12","-0,02","119,7","18,9"
01.09.2010,"86,17","0,05","57,0","12,9"
01.10.2010,"86,20","0,03","5,6","6,7"
01.11.2010,"86,22","0,02","151,0","4,9"
01.12.2010,"86,32","0,10","85,2","-5,8"
01.01.2011,"86,39","0,07","32,4","0,3"
01.02.2011,"86,44","0,05","26,9","-3,0"
01.03.2011,"86,37","-0,07","22,1","3,5"
