Data,Poziom,Zmiana,Opad,Temperatura,Rezerwuar_sniegu,Opad_efektywny,Snow_add_mm,Rain_part_mm,Melt_mm
1992-11-01,85.59,0.0,43.7,4.0,7.963180541992634e-06,43.70000796318055,0.0,43.7,7.963180541992634e-06
1992-12-01,85.66,0.07,26.1,-0.6,5.574226379394844e-06,26.100002388954163,0.0,26.1,2.3889541625977904e-06
1993-01-01,85.75,0.09,47.7,0.4,2.7871131896974218e-06,47.70000278711319,0.0,47.7,2.7871131896974218e-06
1993-02-01,85.83,0.08,31.5,-0.8,1.950979232788195e-06,31.50000083613396,0.0,31.5,8.361339569092265e-07
1993-03-01,85.88,0.05,33.2,1.8,9.754896163940976e-07,33.20000097548962,0.0,33.2,9.754896163940976e-07
1993-04-01,86.0,0.12,12.7,9.2,4.877448081970488e-07,12.700000487744807,0.0,12.7,4.877448081970488e-07
1993-05-01,85.96,-0.04,25.7,16.4,2.438724040985244e-07,25.7000002438724,0.0,25.7,2.438724040985244e-07
1993-06-01,85.87,-0.09,53.1,15.6,1.219362020492622e-07,53.100000121936205,0.0,53.1,1.219362020492622e-07
1993-07-01,85.9,0.03,102.3,16.3,6.09681010246311e-08,102.3000000609681,0.0,102.3,6.09681010246311e-08
1993-08-01,85.91,0.01,42.4,16.3,3.048405051231555e-08,42.40000003048405,0.0,42.4,3.048405051231555e-08
1993-09-01,85.92,0.01,79.8,12.1,1.5242025256157775e-08,79.80000001524202,0.0,79.8,1.5242025256157775e-08
1993-10-01,86.0,0.08,16.7,8.0,7.621012628078887e-09,16.70000000762101,0.0,16.7,7.621012628078887e-09
1993-11-01,85.99,-0.01,40.7,-0.7,5.3347088396552215e-09,40.70000000228631,0.0,40.7,2.2863037884236663e-09
1993-12-01,86.15,0.16,91.0,2.2,2.6673544198276107e-09,91.00000000266736,0.0,91.0,2.6673544198276107e-09
1994-01-01,86.24,0.09,39.5,2.4,1.3336772099138054e-09,39.50000000133368,0.0,39.5,1.3336772099138054e-09
1994-02-01,86.23,-0.01,25.8,-2.2,12.900000001333678,12.9,12.9,12.9,0.0
1994-03-01,86.29,0.06,58.7,4.4,6.450000000666839,65.15000000066684,0.0,58.7,6.450000000666839
