Data,Poziom,Zmiana,Opad,Temperatura
01.10.1993,"96,46","0,0","16,7","8,0"
01.11.1993,"96,46","0,0","40,7","-0,7"
01.12.1993,"96,52","0,06","91,0","2,2"
01.01.1994,"96,94","0,42","39,5","2,4"
01.02.1994,"97,74","0,8","25,8","-2,2"
01.03.1994,"97,91","0,17","58,7","4,4"
01.04.1994,"98,62","0,71","35,0","9,0"
01.05.1994,"98,56","-0,06","64,7","12,6"
01.06.1994,"98,53","-0,03","31,8","15,8"
01.07.1994,"98,33","-0,2","50,4","22,1"
01.08.1994,"98,12","-0,21","40,4","18,8"
01.09.1994,"97,8","-0,32","91,8","14,3"
01.10.1994,"97,66","-0,14","15,2","6,6"
01.11.1994,"97,83","0,17","23,4","4,3"
01.12.1994,"98,01","0,18","43,4","1,8"
01.01.1995,"98,1","0,09","31,4","-0,6"
01.02.1995,"98,17","0,07","36,5","3,5"
01.03.1995,"98,42","0,25","39,8","2,8"
01.04.1995,"98,67","0,25","24,8","8,2"
01.05.1995,"98,5","-0,17","34,0","12,8"
01.06.1995,"98,41","-0,09","70,3","16,3"
01.07.1995,"98,23","-0,18","56,9","20,6"
01.08.1995,"98,14","-0,09","63,8","19,0"
01.09.1995,"98,21","0,07","119,8","13,4"
01.10.1995,"98,16","-0,05","13,6","10,5"
01.11.1995,"98,18","0,02","17,0","1,1"
01.12.1995,"98,17","-0,01","18,8","-4,9"
01.01.1996,"98,19","0,02","8,8","-5,7"
01.02.1996,"98,2","0,01","35,2","-5,6"
01.03.1996,"98,21","0,01","8,5","-0,9"
01.04.1996,"98,46","0,25","9,8","7,6"
01.05.1996,"98,49","0,03","92,2","13,5"
01.06.1996,"98,35","-0,14","25,8","16,6"
01.07.1996,"98,26","-0,09","106,9","15,9"
01.08.1996,"98,15","-0,11","62,2","18,4"
01.09.1996,"98,08","-0,07","62,5","10,9"
01.10.1996,"98,04","-0,04","26,1","9,5"
01.11.1996,"98,01","-0,03","15,1","5,4"
01.12.1996,"98,01","0,0","7,6","-4,5"
01.01.1997,"98,01","0,0","0,8","-3,2"
01.02.1997,"98,01","0,0","49,6","2,9"
01.03.1997,"98,01","0,0","24,4","4,1"
01.04.1997,"98,03","0,02","15,8","5,5"
01.05.1997,"98,02","-0,01","49,8","12,6"
01.06.1997,"97,95","-0,07","64,0","16,5"
01.07.1997,"97,94","-0,01","115,5","17,8"
01.08.1997,"97,84","-0,1","33,8","19,6"
01.09.1997,"97,65","-0,19","22,7","13,5"
01.10.1997,"97,6","-0,05","44,1","7,4"
01.11.1997,"97,56","-0,04","24,4","3,0"
