data,poziom_m_npm_szacunek
1993-11,96.52
1993-12,96.57
1994-01,96.95
1994-02,97.43
1994-03,98.01
1994-04,98.26
1994-05,98.54
1994-06,98.61
1994-07,98.5
1994-08,98.33
1994-09,98.23
1994-10,97.96
1994-11,97.86
1994-12,97.93
1995-01,98.08
1995-02,98.23
1995-03,98.32
1995-04,98.51
1995-05,98.62
1995-06,98.57
1995-07,98.42
1995-08,98.35
1995-09,98.23
1995-10,98.21
1995-11,98.18
1995-12,98.18
1996-01,98.18
1996-02,98.18
1996-03,98.24
1996-04,98.4
1996-05,98.48
1996-06,98.47
1996-07,98.42
1996-08,98.3
1996-09,98.18
1996-10,98.1
1996-11,98.04
1996-12,98.03
1997-01,98.0
1997-02,98.01
1997-03,98.02
1997-04,98.02
1997-05,98.02
1997-06,98.0
1997-07,97.98
1997-08,97.93
1997-09,97.83
1997-10,97.72
1997-11,97.66
1997-12,97.62
1998-01,97.67
1998-02,97.83
1998-03,98.05
1998-04,98.16
1998-05,98.32
1998-06,98.29
1998-07,98.16
1998-08,97.98
1998-09,97.83
1998-10,97.77
1998-11,97.74
1998-12,97.96
1999-01,98.25
1999-02,98.59
1999-03,98.76
1999-04,98.85
1999-05,98.8
1999-06,98.65
1999-07,98.52
1999-08,98.42
1999-09,98.25
1999-10,98.05
1999-11,97.9
1999-12,97.81
2000-01,97.75
2000-02,97.75
2000-03,97.86
2000-04,98.0
2000-05,98.03
2000-06,97.97
2000-07,97.9
2000-08,97.74
2000-09,97.62
2000-10,97.51
2000-11,97.41
2000-12,97.37
2001-01,97.33
2001-02,97.38
2001-03,97.55
2001-04,97.73
2001-05,97.9
2001-06,97.95
2001-07,97.95
2001-08,97.89
2001-09,97.82
2001-10,97.78
2001-11,97.75
2001-12,97.71
2002-01,97.81
2002-02,98.16
2002-03,98.46
2002-04,98.63
2002-05,98.61
2002-06,98.52
2002-07,98.42
2002-08,98.28
2002-09,98.15
2002-10,98.08
2002-11,98.05
2002-12,98.13
2003-01,98.26
2003-02,98.41
2003-03,98.5
2003-04,98.61
2003-05,98.66
2003-06,98.52
2003-07,98.31
2003-08,98.19
2003-09,97.96
2003-10,97.77
2003-11,97.61
2003-12,97.53
2004-01,97.5
2004-02,97.48
2004-03,97.45
2004-04,97.41
2004-05,97.35
2004-06,97.22
2004-07,97.16
2004-08,96.99
2004-09,96.82
2004-10,96.68
2004-11,96.59
2004-12,96.57
2005-01,96.57
2005-02,96.55
2005-03,96.62
2005-04,96.77
2005-05,96.92
2005-06,96.97
2005-07,96.97
2005-08,96.82
2005-09,96.62
2005-10,96.46
2005-11,96.38
2005-12,96.31
2006-01,96.28
2006-02,96.24
2006-03,96.3
2006-04,96.38
2006-05,96.48
2006-06,96.54
2006-07,96.44
2006-08,96.31
2006-09,96.18
2006-10,96.13
2006-11,96.04
2006-12,96.02
2007-01,96.1
2007-02,96.43
2007-03,96.68
2007-04,97.14
2007-05,97.51
2007-06,97.57
2007-07,97.45
2007-08,97.35
2007-09,97.18
2007-10,97.01
2007-11,96.86
2007-12,96.77
2008-01,96.83
2008-02,96.92
2008-03,97.18
2008-04,97.48
2008-05,97.69
2008-06,97.63
2008-07,97.55
2008-08,97.3
2008-09,97.06
2008-10,96.89
2008-11,96.72
2008-12,96.66
2009-01,96.56
2009-02,96.48
2009-03,96.43
2009-04,96.38
2009-05,96.3
2009-06,96.27
2009-07,96.19
2009-08,96.12
2009-09,96.0
2009-10,95.88
2009-11,95.82
2009-12,95.75
2010-01,95.79
2010-02,95.89
2010-03,96.14
2010-04,96.33
2010-05,96.7
2010-06,97.11
2010-07,97.3
2010-08,97.32
2010-09,97.35
2010-10,97.4
2010-11,97.72
2010-12,98.13
2011-01,98.53
2011-02,98.73
2011-03,98.73
2011-04,98.64
2011-05,98.46
2011-06,98.27
2011-07,98.08
2011-08,97.89
2011-09,97.79
2011-10,97.59
2011-11,97.42
2011-12,97.3
2012-01,97.22
2012-02,97.2
2012-03,97.2
2012-04,97.19
2012-05,97.11
2012-06,96.98
2012-07,96.9
2012-08,96.73
2012-09,96.54
2012-10,96.37
2012-11,96.23
2012-12,96.14
