Data,Poziom,Zmiana,Opad,Temperatura
01.11.1993,"96,52",0,"40,7","-0,7"
01.12.1993,"96,57","0,05","91,0","2,2"
01.01.1994,"96,95","0,38","39,5","2,4"
01.02.1994,"97,43","0,48","25,8","-2,2"
01.03.1994,"98,01","0,58","58,7","4,4"
01.04.1994,"98,26","0,25","35,0","9,0"
01.05.1994,"98,54","0,28","64,7","12,6"
01.06.1994,"98,61","0,07","31,8","15,8"
01.07.1994,"98,50","-0,11","50,4","22,1"
01.08.1994,"98,33","-0,17","40,4","18,8"
01.09.1994,"98,23","-0,10","91,8","14,3"
01.10.1994,"97,96","-0,27","15,2","6,6"
01.11.1994,"97,86","-0,10","23,4","4,3"
01.12.1994,"97,93","0,07","43,4","1,8"
01.01.1995,"98,08","0,15","31,4","-0,6"
01.02.1995,"98,23","0,15","36,5","3,5"
01.03.1995,"98,32","0,09","39,8","2,8"
01.04.1995,"98,51","0,19","24,8","8,2"
01.05.1995,"98,62","0,11","34,0","12,8"
01.06.1995,"98,57","-0,05","70,3","16,3"
01.07.1995,"98,42","-0,15","56,9","20,6"
01.08.1995,"98,35","-0,07","63,8","19,0"
01.09.1995,"98,23","-0,12","119,8","13,4"
01.10.1995,"98,21","-0,02","13,6","10,5"
01.11.1995,"98,18","-0,03","17,0","1,1"
01.12.1995,"98,18","0,00","18,8","-4,9"
01.01.1996,"98,18","0,00","8,8","-5,7"
01.02.1996,"98,18","0,00","35,2","-5,6"
01.03.1996,"98,24","0,06","8,5","-0,9"
01.04.1996,"98,40","0,16","9,8","7,6"
01.05.1996,"98,48","0,08","92,2","13,5"
01.06.1996,"98,47","-0,01","25,8","16,6"
01.07.1996,"98,42","-0,05","106,9","15,9"
01.08.1996,"98,30","-0,12","62,2","18,4"
01.09.1996,"98,18","-0,12","62,5","10,9"
01.10.1996,"98,10","-0,08","26,1","9,5"
01.11.1996,"98,04","-0,06","15,1","5,4"
01.12.1996,"98,03","-0,01","7,6","-4,5"
01.01.1997,"98,00","-0,03","0,8","-3,2"
01.02.1997,"98,01","0,01","49,6","2,9"
01.03.1997,"98,02","0,01","24,4","4,1"
01.04.1997,"98,02","0,00","15,8","5,5"
01.05.1997,"98,02","0,00","49,8","12,6"
01.06.1997,"98,00","-0,02","64,0","16,5"
01.07.1997,"97,98","-0,02","115,5","17,8"
01.08.1997,"97,93","-0,05","33,8","19,6"
01.09.1997,"97,83","-0,10","22,7","13,5"
01.10.1997,"97,72","-0,11","44,1","7,4"
01.11.1997,"97,66","-0,06","24,4","3,0"
01.12.1997,"97,62","-0,04","35,7","1,6"
01.01.1998,"97,67","0,05","40,0","1,9"
01.02.1998,"97,83","0,16","16,8","4,6"
01.03.1998,"98,05","0,22","46,3","3,3"
01.04.1998,"98,16","0,11","36,5","10,4"
01.05.1998,"98,32","0,16","36,1","14,6"
01.06.1998,"98,29","-0,03","35,5","17,1"
01.07.1998,"98,16","-0,13","73,9","17,4"
01.08.1998,"97,98","-0,18","68,6","16,7"
01.09.1998,"97,83","-0,15","96,7","14,0"
01.10.1998,"97,77","-0,06","68,1","8,5"
01.11.1998,"97,74","-0,03","47,5","0,1"
01.12.1998,"97,96","0,22","41,6","-0,2"
01.01.1999,"98,25","0,29","46,0","1,2"
01.02.1999,"98,59","0,34","52,8","-0,5"
01.03.1999,"98,76","0,17","55,0","4,4"
01.04.1999,"98,85","0,09","83,6","9,5"
01.05.1999,"98,80","-0,05","41,8","13,0"
01.06.1999,"98,65","-0,15","58,0","16,2"
01.07.1999,"98,52","-0,13","61,6","19,6"
01.08.1999,"98,42","-0,10","14,0","17,8"
01.09.1999,"98,25","-0,17","18,4","17,1"
01.10.1999,"98,05","-0,20","43,8","9,0"
01.11.1999,"97,90","-0,15","35,3","2,9"
01.12.1999,"97,81","-0,09","46,7","1,7"
01.01.2000,"97,75","-0,06","27,6","-0,1"
01.02.2000,"97,75","0,00","34,4","3,2"
01.03.2000,"97,86","0,11","70,7","4,1"
01.04.2000,"98,00","0,14","21,8","12,1"
01.05.2000,"98,03","0,03","33,5","15,6"
01.06.2000,"97,97","-0,06","30,1","17,3"
01.07.2000,"97,90","-0,07","151,9","16,3"
01.08.2000,"97,74","-0,16","69,7","18,2"
01.09.2000,"97,62","-0,12","47,1","12,9"
01.10.2000,"97,51","-0,11","15,7","11,8"
01.11.2000,"97,41","-0,10","47,4","6,5"
01.12.2000,"97,37","-0,04","48,1","2,2"
01.01.2001,"97,33","-0,04","16,3","-0,1"
01.02.2001,"97,38","0,05","26,9","0,7"
01.03.2001,"97,55","0,17","49,5","2,6"
01.04.2001,"97,73","0,18","36,1","8,0"
01.05.2001,"97,90","0,17","29,0","14,4"
01.06.2001,"97,95","0,05","49,9","15,1"
01.07.2001,"97,95","0,00","76,6","19,9"
01.08.2001,"97,89","-0,06","28,3","19,8"
01.09.2001,"97,82","-0,07","97,6","12,3"
01.10.2001,"97,78","-0,04","20,9","3,0"
01.11.2001,"97,75","-0,03","21,2","-1,6"
01.12.2001,"97,71","-0,04","54,0","-0,3"
01.01.2002,"97,81","0,10","29,9","0,7"
01.02.2002,"98,16","0,35","67,2","4,0"
01.03.2002,"98,46","0,30","49,5","5,0"
01.04.2002,"98,63","0,17","15,0","8,8"
01.05.2002,"98,61","-0,02","40,3","16,8"
01.06.2002,"98,52","-0,09","47,3","18,0"
01.07.2002,"98,42","-0,10","61,6","20,3"
01.08.2002,"98,28","-0,14","49,9","21,5"
01.09.2002,"98,15","-0,13","66,2","14,2"
01.10.2002,"98,08","-0,07","82,7","7,7"
01.11.2002,"98,05","-0,03","46,2","4,3"
01.12.2002,"98,13","0,08","7,3","-3,6"
01.01.2003,"98,26","0,13","41,7","-1,7"
01.02.2003,"98,41","0,15","5,5","-3,5"
01.03.2003,"98,50","0,09","14,4","3,0"
01.04.2003,"98,61","0,11","12,7","8,2"
01.05.2003,"98,66","0,05","35,2","15,7"
01.06.2003,"98,52","-0,14","26,0","19,0"
01.07.2003,"98,31","-0,21","68,2","19,5"
01.08.2003,"98,19","-0,12","16,8","19,4"
01.09.2003,"97,96","-0,23","11,2","14,7"
01.10.2003,"97,77","-0,19","40,1","5,8"
01.11.2003,"97,61","-0,16","24,0","5,6"
01.12.2003,"97,53","-0,08","37,9","1,9"
01.01.2004,"97,50","-0,03","49,2","-4,0"
01.02.2004,"97,48","-0,02","36,6","1,6"
