data,poziom_m_npm_szacunek
1992-11,96.93
1992-12,96.94
1993-01,96.96
1993-02,96.98
1993-03,97.02
1993-04,97.06
1993-05,97.06
1993-06,97.0
1993-07,96.95
1993-08,96.9
1993-09,96.87
1993-10,96.86
1993-11,96.92
1993-12,97.03
1994-01,97.16
1994-02,97.37
1994-03,97.64
1994-04,97.85
1994-05,98.03
1994-06,98.18
1994-07,98.13
1994-08,98.06
1994-09,97.99
1994-10,97.91
1994-11,97.85
1994-12,97.82
1995-01,97.86
1995-02,97.95
1995-03,98.03
1995-04,98.12
1995-05,98.17
1995-06,98.13
1995-07,98.07
1995-08,98.0
1995-09,97.96
1995-10,97.96
1995-11,97.93
1995-12,97.91
1996-01,97.93
1996-02,97.95
1996-03,97.99
1996-04,98.06
1996-05,98.15
1996-06,98.18
1996-07,98.16
1996-08,98.1
1996-09,98.03
1996-10,97.98
1996-11,97.93
1996-12,97.92
1997-01,97.92
1997-02,97.92
1997-03,97.92
1997-04,97.92
1997-05,97.93
1997-06,97.94
1997-07,97.96
1997-08,97.91
1997-09,97.83
1997-10,97.71
1997-11,97.62
1997-12,97.59
1998-01,97.61
1998-02,97.66
1998-03,97.74
1998-04,97.82
1998-05,97.86
1998-06,97.8
1998-07,97.71
1998-08,97.61
1998-09,97.53
1998-10,97.48
1998-11,97.51
1998-12,97.59
1999-01,97.76
1999-02,97.99
1999-03,98.29
1999-04,98.58
1999-05,98.85
1999-06,99.0
1999-07,98.95
1999-08,98.8
1999-09,98.66
1999-10,98.51
1999-11,98.38
1999-12,98.29
2000-01,98.24
2000-02,98.23
2000-03,98.27
2000-04,98.31
2000-05,98.26
2000-06,98.16
2000-07,98.06
2000-08,97.95
2000-09,97.89
2000-10,97.83
2000-11,97.79
2000-12,97.75
2001-01,97.73
2001-02,97.72
2001-03,97.76
2001-04,97.84
2001-05,97.92
2001-06,97.94
2001-07,97.89
2001-08,97.82
2001-09,97.78
2001-10,97.72
2001-11,97.69
2001-12,97.65
2002-01,97.68
2002-02,97.9
2002-03,98.1
2002-04,98.35
2002-05,98.55
2002-06,98.55
2002-07,98.44
2002-08,98.33
2002-09,98.2
2002-10,98.1
2002-11,98.06
2002-12,98.12
2003-01,98.16
2003-02,98.14
2003-03,98.13
2003-04,98.17
2003-05,98.17
2003-06,98.06
2003-07,97.94
2003-08,97.78
2003-09,97.63
2003-10,97.49
2003-11,97.39
2003-12,97.33
2004-01,97.31
2004-02,97.28
2004-03,97.26
2004-04,97.26
2004-05,97.25
2004-06,97.2
2004-07,97.12
2004-08,97.04
2004-09,96.94
2004-10,96.85
2004-11,96.78
2004-12,96.74
2005-01,96.74
2005-02,96.73
2005-03,96.75
2005-04,96.78
2005-05,96.83
2005-06,96.83
2005-07,96.74
2005-08,96.65
2005-09,96.5
2005-10,96.42
2005-11,96.34
2005-12,96.3
2006-01,96.29
2006-02,96.29
2006-03,96.3
2006-04,96.32
2006-05,96.32
2006-06,96.28
2006-07,96.19
2006-08,96.16
2006-09,96.12
2006-10,96.08
2006-11,96.06
2006-12,96.06
2007-01,96.12
2007-02,96.26
2007-03,96.45
2007-04,96.61
2007-05,96.78
2007-06,96.75
2007-07,96.68
2007-08,96.58
2007-09,96.48
2007-10,96.38
2007-11,96.31
2007-12,96.25
2008-01,96.27
2008-02,96.35
2008-03,96.43
2008-04,96.54
2008-05,96.58
2008-06,96.5
2008-07,96.4
2008-08,96.28
2008-09,96.15
2008-10,96.09
2008-11,96.03
2008-12,95.99
2009-01,95.97
2009-02,95.96
2009-03,95.95
2009-04,95.93
2009-05,95.89
2009-06,95.86
2009-07,95.86
2009-08,95.84
2009-09,95.78
2009-10,95.7
2009-11,95.65
2009-12,95.63
2010-01,95.65
2010-02,95.67
2010-03,95.73
2010-04,95.81
2010-05,95.89
2010-06,96.01
2010-07,96.04
2010-08,96.04
2010-09,96.04
2010-10,96.05
2010-11,96.19
2010-12,96.49
2011-01,96.84
2011-02,97.29
2011-03,97.58
2011-04,97.82
2011-05,97.84
2011-06,97.72
2011-07,97.59
2011-08,97.41
2011-09,97.25
2011-10,97.09
2011-11,96.97
2011-12,96.84
2012-01,96.78
2012-02,96.75
2012-03,96.73
2012-04,96.66
2012-05,96.58
2012-06,96.49
2012-07,96.39
2012-08,96.27
2012-09,96.15
2012-10,96.03
2012-11,95.92
2012-12,95.87
2013-01,95.85
2013-02,95.9
2013-03,95.93
2013-04,95.97
2013-05,95.95
2013-06,95.93
2013-07,95.87
2013-08,95.82
2013-09,95.74
2013-10,95.71
2013-11,95.69
2013-12,95.69
2014-01,95.73
2014-02,95.76
2014-03,95.79
2014-04,95.81
2014-05,95.83
2014-06,95.79
2014-07,95.71
2014-08,95.62
2014-09,95.52
2014-10,95.44
2014-11,95.4
2014-12,95.36
2015-01,95.34
2015-02,95.34
2015-03,95.32
2015-04,95.32
2015-05,95.29
2015-06,95.24
2015-07,95.17
2015-08,95.08
2015-09,94.98
2015-10,94.89
2015-11,94.81
2015-12,94.77
2016-01,94.75
2016-02,94.75
2016-03,94.77
2016-04,94.77
2016-05,94.74
2016-06,94.7
2016-07,94.61
2016-08,94.54
2016-09,94.46
2016-10,94.4
2016-11,94.35
2016-12,94.37
2017-01,94.4
2017-02,94.44
2017-03,94.43
2017-04,94.44
2017-05,94.45
2017-06,94.44
2017-07,94.4
2017-08,94.37
2017-09,94.35
2017-10,94.35
2017-11,94.39
2017-12,94.47
2018-01,94.6
2018-02,94.7
2018-03,94.8
2018-04,94.84
2018-05,94.84
2018-06,94.77
2018-07,94.69
2018-08,94.58
2018-09,94.48
2018-10,94.39
2018-11,94.32
2018-12,94.29
2019-01,94.31
2019-02,94.35
2019-03,94.38
2019-04,94.39
2019-05,94.37
2019-06,94.31
2019-07,94.17
2019-08,94.07
2019-09,93.95
2019-10,93.86
2019-11,93.87
2019-12,93.9
2020-01,93.9
2020-02,93.9
2020-03,93.94
2020-04,93.96
2020-05,93.92
2020-06,93.86
2020-07,93.82
2020-08,93.77
2020-09,93.71
2020-10,93.66
2020-11,93.65
2020-12,93.66
2021-01,93.64
2021-02,93.68
2021-03,93.72
2021-04,93.8
2021-05,93.84
2021-06,93.91
2021-07,93.94
2021-08,93.92
2021-09,93.9
2021-10,93.88
2021-11,93.83
2021-12,93.77
2022-01,93.79
2022-02,93.82
2022-03,93.91
2022-04,93.95
2022-05,93.97
2022-06,93.92
2022-07,93.82
2022-08,93.79
2022-09,93.66
2022-10,93.6
2022-11,93.54
2022-12,93.49
2023-01,93.49
2023-02,93.53
2023-03,93.59
2023-04,93.63
2023-05,93.66
2023-06,93.64
2023-07,93.58
2023-08,93.47
2023-09,93.4
2023-10,93.31
2023-11,93.28
