train_end,rok,mae,mae_spadki,mae_przyrosty,rmse,r2
2002-12-01,2002,0.0458,0.0584,0.0189,0.0571,-0.2195
2003-12-01,2003,0.0507,0.0616,0.0392,0.0613,-0.5999
2004-12-01,2004,0.0548,0.0658,0.0477,0.0729,-0.4518
2005-12-01,2005,0.0566,0.0706,0.043,0.0754,-0.5741
2006-12-01,2006,0.039,0.0489,0.0216,0.0552,-0.0655
2007-12-01,2007,0.0353,0.0373,0.0252,0.0461,-0.0613
2008-12-01,2008,0.0473,0.0241,0.0666,0.0816,0.032
2009-12-01,2009,0.0617,0.0291,0.0946,0.112,-0.0852
2010-12-01,2010,0.0495,0.0397,0.0907,0.0779,0.1602
2011-12-01,2011,0.0471,0.0402,0.0709,0.058,-0.7122
2012-12-01,2012,0.0507,0.0477,0.0602,0.0615,-0.7428
2013-12-01,2013,0.0398,0.0387,0.037,0.0516,-0.1186
2014-12-01,2014,0.0369,0.034,0.0648,0.0516,-0.0703
2015-12-01,2015,0.0334,0.0265,0.0474,0.048,-0.5058
2016-12-01,2016,0.0356,0.031,0.0403,0.053,-0.0267
2017-12-01,2017,0.0378,0.0368,0.0414,0.05,0.2259
2018-12-01,2018,0.0503,0.0463,0.0672,0.0594,0.0321
2019-12-01,2019,0.0593,0.0569,0.0628,0.0705,-0.16
2020-12-01,2020,0.0646,0.0642,0.0672,0.0778,-0.0408
2021-12-01,2021,0.0619,0.0598,0.0762,0.0766,0.195
2022-12-01,2022,0.0481,0.0424,0.0627,0.0649,0.3257
