train_end,rok,mae,mae_spadki,mae_przyrosty,rmse,r2
1986-12-01,1986,0.0397,0.04,0.0351,0.0517,-0.1566
1987-12-01,1987,0.031,0.0254,0.0347,0.0425,0.4011
1988-12-01,1988,0.024,0.023,0.023,0.033,0.6104
1989-12-01,1989,0.025,0.0304,0.0177,0.0354,0.3276
1990-12-01,1990,0.0242,0.0308,0.018,0.0301,0.5961
1991-12-01,1991,0.023,0.0315,0.0138,0.0282,0.5908
1992-12-01,1992,0.0342,0.0333,0.0345,0.0452,0.3341
1993-12-01,1993,0.0385,0.0384,0.0377,0.047,0.4373
1994-12-01,1994,0.0332,0.0416,0.0299,0.0461,0.0182
1995-12-01,1995,0.0292,0.0367,0.0236,0.045,-0.4106
1996-12-01,1996,0.0231,0.0214,0.0243,0.0279,0.5502
1997-12-01,1997,0.0373,0.0283,0.0443,0.0481,0.4598
1998-12-01,1998,0.0388,0.0325,0.0444,0.0519,0.4222
1999-12-01,1999,0.0291,0.0353,0.0115,0.042,0.3028
2000-12-01,2000,0.0297,0.0264,0.0309,0.037,0.5465
2001-12-01,2001,0.0285,0.0297,0.0293,0.0365,0.6727
2002-12-01,2002,0.0277,0.0338,0.0248,0.0366,0.5235
2003-12-01,2003,0.022,0.0293,0.0163,0.027,0.6816
2004-12-01,2004,0.0386,0.0512,0.0303,0.0476,0.4826
2005-12-01,2005,0.0405,0.0451,0.0392,0.0487,0.5229
2006-12-01,2006,0.0289,0.0258,0.0364,0.0371,0.7376
2007-12-01,2007,0.0314,0.0373,0.0306,0.0391,0.6196
2008-12-01,2008,0.0404,0.0451,0.0435,0.0509,0.2269
2009-12-01,2009,0.0417,0.0342,0.05,0.0516,0.5147
2010-12-01,2010,0.0265,0.0241,0.0225,0.0327,0.7518
2011-12-01,2011,0.0292,0.0302,0.0251,0.0344,0.4914
2012-12-01,2012,0.0293,0.0189,0.039,0.036,0.5001
2013-12-01,2013,0.0227,0.0222,0.0276,0.0304,0.6718
2014-12-01,2014,0.0245,0.0282,0.0216,0.0292,0.544
2015-12-01,2015,0.023,0.023,0.0228,0.0272,0.5439
2016-12-01,2016,0.0238,0.0237,0.0235,0.0337,0.7133
2017-12-01,2017,0.0306,0.0353,0.0223,0.0425,0.6241
2018-12-01,2018,0.0251,0.0272,0.0246,0.0332,0.5863
2019-12-01,2019,0.025,0.0182,0.0398,0.0356,0.4575
2020-12-01,2020,0.0294,0.0238,0.0394,0.0424,0.4463
2021-12-01,2021,0.0293,0.0286,0.0312,0.0375,0.648
2022-12-01,2022,0.0267,0.0179,0.0342,0.034,0.6791
