train_end,rok,mae,mae_spadki,mae_przyrosty,rmse,r2
1986-12-01,1986,0.0398,0.0326,0.0445,0.0457,0.3237
1987-12-01,1987,0.0379,0.0385,0.0375,0.0438,0.5033
1988-12-01,1988,0.0311,0.0324,0.0315,0.0377,0.2831
1989-12-01,1989,0.0213,0.021,0.023,0.0264,0.4085
1990-12-01,1990,0.0212,0.0288,0.0144,0.0268,0.7611
1991-12-01,1991,0.0244,0.0322,0.0144,0.03,0.6749
1992-12-01,1992,0.0314,0.0237,0.0386,0.0408,0.3349
1993-12-01,1993,0.0362,0.0302,0.0405,0.0438,0.4291
1994-12-01,1994,0.0279,0.0289,0.0261,0.0354,0.2412
1995-12-01,1995,0.0287,0.0404,0.0214,0.0403,-0.2848
1996-12-01,1996,0.0224,0.0338,0.0181,0.0307,0.4626
1997-12-01,1997,0.0242,0.0222,0.0256,0.0311,0.7392
1998-12-01,1998,0.0282,0.0339,0.0257,0.0377,0.6816
1999-12-01,1999,0.0283,0.0296,0.0244,0.0383,0.3565
2000-12-01,2000,0.0276,0.018,0.0338,0.0365,0.4412
2001-12-01,2001,0.0331,0.0376,0.047,0.0455,0.4774
2002-12-01,2002,0.0302,0.0386,0.0326,0.0394,0.5631
2003-12-01,2003,0.0248,0.0282,0.0211,0.0298,0.6982
2004-12-01,2004,0.0345,0.0439,0.0259,0.0428,0.4772
2005-12-01,2005,0.0351,0.0352,0.0331,0.0448,0.4193
2006-12-01,2006,0.0299,0.0309,0.029,0.0368,0.648
2007-12-01,2007,0.0278,0.0353,0.024,0.034,0.6267
2008-12-01,2008,0.0343,0.0214,0.0438,0.0469,0.2608
2009-12-01,2009,0.0373,0.0246,0.0507,0.0502,0.5328
2010-12-01,2010,0.0292,0.0263,0.0395,0.0402,0.657
2011-12-01,2011,0.0219,0.0198,0.0236,0.0264,0.6699
2012-12-01,2012,0.0189,0.0175,0.0195,0.0232,0.7213
2013-12-01,2013,0.0192,0.0234,0.0121,0.0271,0.6959
2014-12-01,2014,0.0251,0.0292,0.0146,0.033,0.4919
2015-12-01,2015,0.0279,0.0307,0.0222,0.0339,0.088
2016-12-01,2016,0.0328,0.0342,0.0317,0.0382,0.2191
2017-12-01,2017,0.0253,0.0294,0.0221,0.0328,0.6491
2018-12-01,2018,0.0176,0.0203,0.0142,0.0236,0.7388
2019-12-01,2019,0.0138,0.0178,0.0099,0.0194,0.7535
2020-12-01,2020,0.0164,0.0203,0.0137,0.0207,0.7942
2021-12-01,2021,0.0176,0.0204,0.0136,0.0209,0.8376
2022-12-01,2022,0.0155,0.0184,0.0124,0.0196,0.8759
