metoda,2000–2010,2015–2023
OLS (m/rok),-0.037329887786153426,-0.11323892808285402
Theil-Sen (m/rok),-0.039389709724187795,-0.11394142430309777
Bootstrap mediana (m/rok),-0.03723181238696033,-0.11310033594935143
Bootstrap 95% CI dolna,-0.04604897982833609,-0.12592748650335872
Bootstrap 95% CI górna,-0.02893293685676076,-0.10204337550048002
Śr. mies. Δlevel (m),0.0003816793893129554,-0.01074766355140179
Odch. std. Δlevel (m),0.06217103679061028,0.05669682588332637
Mann-Kendall p,4.60718796446713e-10,0.0
Różnica tempa (okres2-okres1) m/rok,,-0.07590904029670059
Przedziały 95% CI pokrywają się,False,
"Różnica istotna (p<0,05)",True,
Chow F (zmiana struktury),221.8614751550308,
Chow p,0.0,
