metoda,2000–2010,2015–2023
OLS (m/rok),-0.03488573797526692,-0.06664922501866571
Theil-Sen (m/rok),-0.0352232502863722,-0.0645211365933635
Bootstrap mediana (m/rok),-0.035395574645764746,-0.06630471819727435
Bootstrap 95% CI dolna,-0.043259907673607954,-0.07636043411863562
Bootstrap 95% CI górna,-0.027561134016402606,-0.05638101834929233
Śr. mies. Δlevel (m),0.0012213740458015007,-0.00822429906542065
Odch. std. Δlevel (m),0.05842842960228994,0.047579389150237815
Mann-Kendall p,7.451972372507498e-11,0.0
Różnica tempa (okres2-okres1) m/rok,,-0.03176348704339879
Przedziały 95% CI pokrywają się,False,
"Różnica istotna (p<0,05)",True,
Chow F (zmiana struktury),148.08561872957478,
Chow p,0.0,
